repo, bugs, ossf score, complex functions, total functions
GStreamer/gstreamer,1262,5.4,13772,71426
xroche/httrack,1252,7.6,317,1269
fontforge/fontforge,1168,6.4,1718,8506
systemd/systemd,1156,8.3,5625,16102
oneapi-src/oneTBB,1100,6.8,289,1853
mitsuba-renderer/nanogui,1011,5.4,56,1075
baldurk/renderdoc,963,5.3,1183,10026
performancecopilot/pcp,841,6.1,2894,16587
radareorg/radare2,768,6.1,1896,15902
YannickJadoul/Parselmouth,721,4.8,2196,13653
rizinorg/rizin,711,7,2245,15603
jpd002/Play-,677,5.9,2863,35144
pschatzmann/arduino-audio-tools,587,5.8,2833,18817
fltk/fltk,587,7.3,276,3136
fluent/fluent-bit,581,5.9,2534,23123
rui314/mold,560,4.7,635,4430
F-Stack/f-stack,551,6.7,2787,33539
verilog-to-routing/vtr-verilog-to-routing,505,5.2,2732,21637
eliaskosunen/scnlib,500,4.8,9,234
RfidResearchGroup/proxmark3,483,6.6,1038,8556
taosdata/TDengine,476,7.4,1476,9656
numberwolf/h265web.js,474,5.4,2421,14399
bitnine-oss/agensgraph,461,5.2,3194,15814
isl-org/Open3D,446,5.7,59,744
BrunoLevy/geogram,445,5.3,1003,6676
cnr-isti-vclab/meshlab,439,5.2,981,8703
Vita3K/Vita3K,429,6.7,805,10034
Farama-Foundation/ViZDoom,423,5.6,786,6809
plugdata-team/plugdata,421,5.4,526,6524
google/sandboxed-api,421,8.2,2227,29544
tangrams/tangram-es,419,4.8,2544,13868
hanwckf/rt-n56u,412,3.1,1438,9569
dhewm/dhewm3,402,6.2,777,8881
0vercl0k/rp,394,4.8,103,1716
unicode-org/icu,387,6.2,808,7161
vslavik/poedit,375,4.8,500,4891
berkeley-abc/abc,375,5.6,3288,16078
SerenityOS/serenity,369,7.7,1424,13404
sheredom/utest.h,368,6.5,194,836
gongminmin/KlayGE,361,5.8,2121,17116
merryhime/dynarmic,356,6.4,185,3761
ZLMediaKit/ZLMediaKit,356,6.3,220,5751
gphoto/libgphoto2,340,7.5,241,1729
klaussilveira/qengine,327,4.4,917,7504
USBhost/MX_FFmpeg,327,4.3,1315,7146
dfranx/SHADERed,325,4.6,992,7341
openwall/john,324,8,395,4021
