repo, scan-build-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
AdamYuan/SparseVoxelOctree,1668,565,4.5,393,3927,40451,193350
LibreDWG/libredwg,1356,-1,5.3,522,16721,14738,865369
xroche/httrack,1252,362,4.3,317,1269,9540,47642
openpbs/openpbs,1159,-1,5.1,877,4933,109673,214245
mitsuba-renderer/nanogui,1011,-1,4.8,56,1075,6918,22150
eliaskosunen/scnlib,903,349,5.9,9,245,4244,24614
LiangliangNan/PolyFit,880,315,4.2,11982,40554,239471,796730
performancecopilot/pcp,856,130,5.1,2962,16879,104610,1055302
nmellado/Super4PCS,823,0,3.5,445,1638,27947,114790
rizinorg/rizin,744,126,7,2577,17329,75379,729360
plugdata-team/plugdata,694,791,5.2,1022,12741,39284,182026
pschatzmann/arduino-audio-tools,665,1649,5.4,3060,21884,20411,453311
JACoders/OpenJK,663,-1,5.1,1753,12676,231763,927720
DCMTK/dcmtk,634,917,5.6,2390,23480,272629,1020063
OpenEnroth/OpenEnroth,586,10,6.1,1056,12469,15361,135752
hypre-space/hypre,580,-1,7.4,627,2492,102623,477884
F-Stack/f-stack,576,147,5.2,2993,35147,1226972,4671069
terrychou/iVim,570,0,1.6,857,4511,87678,390541
bminor/bash,567,354,4.4,339,2087,25561,125326
applidium/Vim,552,-1,1.1,803,4065,72193,342824
ApsaraDB/PolarDB-for-PostgreSQL,534,-1,6,3208,20103,515825,1233577
fltk/fltk,487,608,6.2,293,3374,80654,255788
RfidResearchGroup/proxmark3,487,1004,6.3,1084,8842,86785,311159
IvorySQL/IvorySQL,462,-1,6,3775,16493,430466,1008032
bitnine-oss/agensgraph,461,-1,4.2,3194,15814,379245,911605
qicosmos/iguana,435,33,6.3,56,827,3191,25850
BrunoLevy/geogram,434,0,5,955,6383,163436,415336
Farama-Foundation/ViZDoom,432,266,5.3,789,6819,81546,368208
tangrams/tangram-es,417,-1,3.8,2544,13868,51172,201386
dhewm/dhewm3,403,-1,3.6,777,8882,134930,441373
0vercl0k/rp,394,237,4.1,103,1716,24981,149286
vslavik/poedit,375,789,4.5,500,4891,864149,3889806
unicode-org/icu,371,1657,8.6,812,7216,230645,950462
etternagame/etterna,369,449,4.4,1858,17805,308923,1064434
merryhime/dynarmic,364,175,5.7,191,4242,40440,225093
veyon/veyon,346,0,4.8,333,1233,11657,45389
alexbatalov/fallout1-ce,334,294,5.1,285,2488,8321,105664
KhronosGroup/COLLADA2GLTF,332,121,3.6,2754,15104,451,7894
falkTX/Carla,331,-1,3.4,194,1846,211386,783609
alexbatalov/fallout2-ce,329,320,5.1,340,2795,10857,120188
klaussilveira/qengine,327,498,3.9,917,7504,75142,426378
USBhost/MX_FFmpeg,327,1363,1.6,1315,7146,368156,1916109
gammu/gammu,322,0,6.9,247,2051,18624,111693
FreeFem/FreeFem-sources,319,-1,3.3,598,3150,42048,277642
