repo, scan-build-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
omnigres/omnigres,2713,3606,5.6,5490,42752,7256,63054
AdamYuan/SparseVoxelOctree,1668,566,4.6,393,3927,40451,193350
GStreamer/gstreamer,1379,-1,3.4,14867,81035,469282,2159157
LibreDWG/libredwg,1353,-1,5.3,529,16736,14794,865800
xroche/httrack,1252,362,5.6,315,1268,9541,47434
openpbs/openpbs,1154,-1,5.5,875,4929,109677,214013
mitsuba-renderer/nanogui,1011,0,4.4,56,1075,6918,22150
eliaskosunen/scnlib,903,349,5.9,9,245,4248,24863
BlitterStudio/amiberry,886,92,5.2,727,20818,83347,866803
LiangliangNan/PolyFit,880,315,4.2,11982,40554,239471,796730
performancecopilot/pcp,852,129,5.5,2972,16928,104948,1058210
SwagSoftware/Kisak-Strike,851,1518,2.9,4045,57517,958786,4412096
nmellado/Super4PCS,823,0,3.5,445,1638,27947,114790
plugdata-team/plugdata,750,970,5.1,1112,13642,39452,185461
rizinorg/rizin,740,126,6.9,2585,17389,66999,707517
YannickJadoul/Parselmouth,713,-1,4.8,2212,13795,404565,1154558
pschatzmann/arduino-audio-tools,665,2543,5.5,3049,21719,30467,523479
JACoders/OpenJK,663,0,5.1,1753,12676,231763,927725
DCMTK/dcmtk,618,686,6.2,2269,22651,272631,1020066
bluekitchen/btstack,592,1421,4,1659,33564,640478,1318257
F-Stack/f-stack,576,147,4.1,2993,35147,1226972,4671069
terrychou/iVim,570,0,1.6,857,4511,87678,390541
bminor/bash,567,356,5.3,339,2087,25565,125349
applidium/Vim,555,0,1.1,807,4074,72193,342824
neoml-lib/neoml,542,152,6.2,869,13991,31553,176500
hypre-space/hypre,514,-1,7.4,627,2502,102876,479830
RfidResearchGroup/proxmark3,495,-1,6.3,1104,8940,87174,314045
fltk/fltk,491,625,6.2,308,3597,83553,261353
IvorySQL/IvorySQL,462,-1,6,3775,16493,430466,1008040
bitnine-oss/agensgraph,461,-1,4.1,3194,15814,379245,911605
BrunoLevy/geogram,442,0,5,973,6466,165188,420720
qicosmos/iguana,436,33,6.5,56,827,3191,25856
Farama-Foundation/ViZDoom,432,276,5.2,789,6819,81548,368416
tangrams/tangram-es,417,27,3.8,2544,13868,51172,201386
OpenDDS/OpenDDS,407,-1,6,967,15062,35147,395021
dhewm/dhewm3,403,-1,4.7,777,8882,134932,441382
0vercl0k/rp,394,237,4.1,103,1716,24981,149304
vslavik/poedit,375,789,4.5,500,4891,863512,3890533
etternagame/etterna,369,-1,3.6,1858,17805,308923,1064434
