repo, bugs, ossf score, complex functions, total functions
AdamYuan/SparseVoxelOctree,1651,4.8,250,2672
GStreamer/gstreamer,1262,5.4,13775,71439
xroche/httrack,1252,6.5,317,1269
LibreDWG/libredwg,1195,4.6,495,16568
fontforge/fontforge,1169,5.9,1718,8506
systemd/systemd,1164,9.2,5665,16210
mitsuba-renderer/nanogui,1011,5.4,56,1075
baldurk/renderdoc,962,5.4,1183,10026
LiangliangNan/PolyFit,916,4.6,11979,40554
performancecopilot/pcp,841,6.2,2920,16609
radareorg/radare2,777,5.8,2160,17852
IntelRealSense/librealsense,715,6.7,454,5813
rizinorg/rizin,711,7,2247,15607
JACoders/OpenJK,634,4.7,1618,11780
fluent/fluent-bit,592,6.1,2620,23235
pschatzmann/arduino-audio-tools,587,5.8,2833,18817
fltk/fltk,587,7.6,276,3137
hypre-space/hypre,576,8.3,620,2439
terrychou/iVim,570,4.4,857,4511
RasPlex/OpenPHT,568,4.4,2164,13338
bminor/bash,567,6.4,339,2087
applidium/Vim,555,4.6,807,4074
F-Stack/f-stack,551,6.7,2787,33539
limbo018/DREAMPlace,537,6.3,170,2734
eliaskosunen/scnlib,500,4.8,9,234
DCMTK/dcmtk,496,7.6,1752,18447
IvorySQL/IvorySQL,488,5.4,3962,17336
taosdata/TDengine,484,7.3,1487,9748
RfidResearchGroup/proxmark3,483,6.8,1040,8560
numberwolf/h265web.js,474,5.4,2421,14399
artclarke/humble-video,463,6.3,2257,14269
bitnine-oss/agensgraph,461,5.1,3194,15814
isl-org/Open3D,446,5.7,59,744
cnr-isti-vclab/meshlab,439,5.2,981,8703
BrunoLevy/geogram,437,5.3,951,6367
OSGeo/gdal,433,7.3,2626,16129
Farama-Foundation/ViZDoom,432,5.6,789,6818
plugdata-team/plugdata,421,5.4,526,6524
tangrams/tangram-es,419,4.8,2544,13868
hanwckf/rt-n56u,413,3.1,1445,9631
dhewm/dhewm3,402,6.2,777,8881
0vercl0k/rp,394,4.8,103,1716
unicode-org/icu,387,6.7,808,7161
SerenityOS/serenity,381,7.9,1477,13746
vslavik/poedit,375,5,500,4891
sheredom/utest.h,368,6.5,194,836
gongminmin/KlayGE,360,5.8,2121,17116
ZLMediaKit/ZLMediaKit,356,6.4,220,5765
OpenEnroth/OpenEnroth,341,7.5,572,5849
KhronosGroup/COLLADA2GLTF,334,4.1,2754,15104
alexbatalov/fallout1-ce,330,4.3,284,2481
FreeFem/FreeFem-sources,329,5.9,563,3081
klaussilveira/qengine,327,4.4,917,7504
USBhost/MX_FFmpeg,327,4.3,1315,7146
alexbatalov/fallout2-ce,326,5.2,336,2665
dfranx/SHADERed,325,4.6,992,7341
openwall/john,323,7.8,395,4020
ellson/MOTHBALLED-graphviz,323,5.1,519,3320
pierreguillot/Camomile,322,4.5,308,4304
gammu/gammu,322,7.2,247,2051
Ubpa/Utopia,299,6.4,207,3594
mangoszero/server,295,5.6,1006,10309
micmacIGN/micmac,293,3.2,773,12283
Stichting-MINIX-Research-Foundation/minix,289,5.2,2702,20852
acl-dev/acl,287,6.4,522,9746
DynamoRIO/drmemory,287,4.7,811,5441
freesurfer/freesurfer,286,4.7,2141,10052
casadi/casadi,280,5.5,390,4305
julius-speech/julius,278,5.7,198,1361
TASEmulators/fceux,276,5.6,232,3530
SWI-Prolog/swipl-devel,272,7.3,469,4133
OpenSmalltalk/opensmalltalk-vm,267,4.9,353,4610
google/filament,265,5.6,2342,16873
DarkflameUniverse/DarkflameServer,262,8.1,407,5401
wheybags/freeablo,259,4.9,1334,9143
LiangliangNan/Easy3D,259,5.6,551,4088
openbabel/openbabel,254,5.9,853,3515
