repo, scan-build-bugs, bai-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
AdamYuan/SparseVoxelOctree,1649,110,338,4.6,250,2672,39350,181362
GStreamer/gstreamer,1285,0,-1,5.4,14112,74076,459760,2104862
xroche/httrack,1252,-1,362,6.4,317,1269,9540,47642
LibreDWG/libredwg,1196,-1,-1,4.8,510,16626,14610,345076
openpbs/openpbs,1158,-1,-1,7.6,877,4933,109674,214189
mitsuba-renderer/nanogui,1011,0,-1,5.4,56,1075,6918,22150
LiangliangNan/PolyFit,916,-1,-1,4.7,11979,40554,239470,796732
performancecopilot/pcp,857,21,136,6.3,2951,16711,104263,1052553
rizinorg/rizin,733,-1,0,7,2287,16100,74034,718025
pschatzmann/arduino-audio-tools,725,0,3066,6.1,1586,13450,19366,447366
plugdata-team/plugdata,638,-1,2999,5.6,926,11883,49848,262355
JACoders/OpenJK,632,-1,-1,3.7,1618,11782,221983,857099
OpenEnroth/OpenEnroth,596,51,0,6.6,1046,12041,15470,134846
fltk/fltk,583,380,561,7.6,278,3176,78029,249151
hypre-space/hypre,577,-1,-1,8.2,620,2461,101676,473742
terrychou/iVim,570,-1,0,4.4,857,4511,87678,390541
bminor/bash,567,-1,354,6.4,339,2087,25561,125326
applidium/Vim,552,-1,-1,4.6,803,4065,72193,342824
F-Stack/f-stack,551,-1,441,6,2787,33539,1208067,4561158
DCMTK/dcmtk,523,-1,0,7.6,1793,19624,272614,1020053
eliaskosunen/scnlib,495,0,398,4.8,9,235,4151,24205
RfidResearchGroup/proxmark3,483,-1,-1,6.6,1066,8754,86220,306978
bitnine-oss/agensgraph,461,-1,-1,4.7,3194,15814,379245,911605
IvorySQL/IvorySQL,459,-1,-1,6.2,3770,16398,429341,1002712
cnr-isti-vclab/meshlab,439,-1,0,5.1,980,8703,75089,441382
BrunoLevy/geogram,438,51,0,5.5,954,6377,162676,413879
qicosmos/iguana,434,-1,747,7,56,824,3170,25348
OSGeo/gdal,433,-1,0,7.2,2674,16428,337876,1314570
Farama-Foundation/ViZDoom,432,-1,266,5.3,789,6818,81544,368183
tangrams/tangram-es,417,-1,-1,4.6,2544,13868,51172,201386
dhewm/dhewm3,403,352,-1,6.2,777,8882,134930,441373
0vercl0k/rp,394,0,237,4.7,103,1716,24981,149286
unicode-org/icu,387,0,1564,8.2,810,7180,229776,947863
vslavik/poedit,375,-1,789,5,500,4891,863772,3887984
gongminmin/KlayGE,361,-1,-1,5.7,2121,17119,15531,186555
veyon/veyon,346,769,0,5.7,333,1233,11657,45345
gphoto/libgphoto2,340,-1,819,7.4,241,1729,31809,137609
falkTX/Carla,332,422,-1,3.7,194,1839,209817,784256
KhronosGroup/COLLADA2GLTF,332,-1,-1,4.1,2754,15104,451,7894
alexbatalov/fallout1-ce,330,-1,294,5,285,2489,8310,105608
alexbatalov/fallout2-ce,329,-1,316,5.4,340,2777,10775,118805
klaussilveira/qengine,327,0,498,4.4,917,7504,75142,426378
USBhost/MX_FFmpeg,327,-1,1363,4.3,1315,7146,368156,1916109
gammu/gammu,322,-1,0,7.1,247,2051,18625,111697
FreeFem/FreeFem-sources,319,-1,-1,6.4,598,3150,42048,277642
dfranx/SHADERed,312,0,-1,4.4,992,7305,34865,183476
Skulltrail192/One-Core-Api,311,-1,189,5,287,1986,1050295,6629838
pierreguillot/Camomile,305,427,968,5,308,4304,4493,15556
mangoszero/server,295,-1,-1,4.5,1007,10309,41360,227325
acl-dev/acl,295,-1,835,6.4,524,9760,179318,509320
Stichting-MINIX-Research-Foundation/minix,288,1840,383,5.2,2702,20852,1679506,5601445
