repo, scan-build-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
omnigres/omnigres,1905,-1,3.8,4806,38194,7629,65438
AdamYuan/SparseVoxelOctree,1668,565,3.9,393,3927,40451,193350
GStreamer/gstreamer,1466,0,3.4,15552,85352,477505,2206637
LibreDWG/libredwg,1352,-1,4.6,542,16752,14985,873302
openpbs/openpbs,1155,-1,6.3,877,4932,109796,214383
mitsuba-renderer/nanogui,1011,0,4.4,56,1075,6918,22151
raysan5/rfxgen,932,-1,5,76,774,3050,16971
LiangliangNan/PolyFit,924,315,4.4,11982,40554,239474,796752
BlitterStudio/amiberry,884,92,5,737,20859,83390,887891
performancecopilot/pcp,863,158,5.5,3039,17068,106040,1330984
SwagSoftware/Kisak-Strike,851,1518,2.9,4034,57458,958786,4412096
rizinorg/rizin,850,126,7,2683,17792,82525,774829
nmellado/Super4PCS,823,0,3.5,445,1638,27947,114790
DescentDevelopers/Descent3,781,81,4.6,1037,8151,364910,483104
plugdata-team/plugdata,750,443,5.4,1112,13653,39485,186536
ablab/spades,738,2304,4.4,1545,9107,575718,1112465
pschatzmann/arduino-audio-tools,684,2652,5.6,3034,21552,12887,394648
JACoders/OpenJK,663,0,5,1762,12713,231894,928755
xroche/httrack,626,362,4.1,164,672,9541,47434
DCMTK/dcmtk,620,662,5,1957,20976,272256,1019598
F-Stack/f-stack,576,476,5.2,2993,35147,1226972,4671091
terrychou/iVim,570,0,1.7,857,4511,87678,390541
bminor/bash,567,351,4.4,339,2087,25567,125350
neoml-lib/neoml,563,541,6.5,870,13992,31647,176831
applidium/Vim,555,0,1.1,807,4074,72193,342824
ApsaraDB/PolarDB-for-PostgreSQL,535,-1,5.5,3208,20098,517121,1238989
MythTV/mythtv,524,1574,4.8,2863,18057,347470,2087967
hypre-space/hypre,507,-1,6.2,627,2561,103572,482126
qicosmos/iguana,503,0,6.1,63,998,3250,30442
jellyfin/jellyfin-ffmpeg,496,-1,7.2,2770,16323,170732,1227304
fltk/fltk,487,615,6.2,310,3641,83901,264271
bitnine-oss/agensgraph,461,-1,3.8,3194,15812,379245,911605
IvorySQL/IvorySQL,458,-1,5.9,3826,16556,437123,1025516
RfidResearchGroup/proxmark3,457,1004,6.3,1134,9246,89261,326927
BrunoLevy/geogram,440,0,5,976,6493,165893,431480
Farama-Foundation/ViZDoom,434,276,4.3,789,6819,81551,368426
tangrams/tangram-es,417,953,3.8,2544,13868,51172,201386
OpenDDS/OpenDDS,412,-1,6,1010,15244,35567,400152
dhewm/dhewm3,397,-1,4.5,778,8895,135139,442248
0vercl0k/rp,394,237,4.1,103,1716,24981,149304
etternagame/etterna,368,449,4.1,1858,17805,308923,1064434
jupyter-xeus/cpp-terminal,353,152,5.6,29,330,1169,7212
bluekitchen/btstack,350,848,4,1601,31998,640843,1319699
unicode-org/icu,349,1629,8.5,813,7444,240251,987353
veyon/veyon,344,0,5.2,333,1233,11661,45710
klaussilveira/qengine,343,493,3.9,917,7496,75142,426378
falkTX/Carla,340,-1,3.2,195,1849,100003,407993
alexbatalov/fallout1-ce,334,293,4.6,285,2488,8321,105677
KhronosGroup/COLLADA2GLTF,332,190,3.6,2754,15104,451,7894
alexbatalov/fallout2-ce,331,319,4.8,340,2796,10877,120235
USBhost/MX_FFmpeg,330,1363,1.6,1315,7146,368156,1916109
gammu/gammu,324,0,5.9,247,2051,18624,111693
ellson/MOTHBALLED-graphviz,324,-1,2.9,519,3318,33441,1062670
FreeFem/FreeFem-sources,321,-1,3.4,598,3159,42114,278388
Skulltrail192/One-Core-Api-Source,315,186,3.1,287,1986,1054730,6697035
HarbourMasters/Shipwright,311,-1,5.9,1297,13508,21318,494948
skylicht-lab/skylicht-engine,307,-1,4.6,874,8531,208522,820939
pierreguillot/Camomile,305,968,4.1,308,4304,4493,15556
adaptech-cz/Tesseract4Android,297,893,3.3,1598,8569,171861,445888
acl-dev/acl,295,679,4.4,526,9818,179693,510796
pguyot/Einstein,293,-1,2.9,492,4970,47822,108926
mangoszero/server,291,-1,3.1,849,9496,41361,227363
Stichting-MINIX-Research-Foundation/minix,288,383,2.4,2702,20850,1679506,5601445
micmacIGN/micmac,287,9,3.1,775,12385,247811,1639104
freesurfer/freesurfer,286,1060,2.1,2222,10441,246565,1276712
lagadic/visp,285,26,6.2,552,6120,194392,575338
casadi/casadi,284,329,5,389,4373,89576,191592
bkryza/clang-uml,274,156,5.3,48,564,22436,94533
termux/termux-x11,272,0,4.7,929,5982,342,5022
Themaister/Granite,270,-1,5.4,2498,20263,17705,132512
LiangliangNan/Easy3D,270,5,5,570,4270,123686,498958
OpenSmalltalk/opensmalltalk-vm,267,582,4.6,353,4610,944008,4275084
wheybags/freeablo,259,3065,2.3,1334,9141,212090,975094
openbabel/openbabel,255,95,5.4,853,3512,66068,306800
csound/csound,254,2,3.8,511,4208,42127,212659
d99kris/nchat,250,205,5.5,1877,31228,108597,514208
julius-speech/julius,248,347,3.7,174,1251,76584,175580
audeering/opensmile,248,1686,3.1,442,3310,19017,101851
simbody/simbody,246,-1,5,404,4227,119008,269594
seemoo-lab/nexmon,245,2014,4.4,3319,29904,1065394,5566297
muhanzhang/SEAL,244,487,0.2,308,897,11981,75251
STJr/SRB2,243,266,1.9,814,6135,96611,434306
coronalabs/corona,241,364,3.9,763,9060,340776,1046579
nature-lang/nature,239,95,3.5,164,1340,6878,36852
groonga/groonga,239,-1,6.5,1301,4562,13435,619153
pachterlab/kallisto,236,1502,5,328,1991,25210,120384
trailofbits/cb-multios,235,-1,5,2172,35525,420695,6908805
dethrace-labs/dethrace,232,464,5.2,396,5445,13707,201594
TASEmulators/fceux,232,0,3.6,237,3664,44245,259985
steveicarus/iverilog,231,947,5.9,414,5138,38849,176629
rockchip-linux/rknn-toolkit2,231,88,2.6,29,282,44389,89357
Hamlib/Hamlib,229,-1,6.4,871,3954,50918,260932
vhelin/wla-dx,228,0,5.5,173,495,3874,60302
Blosc/c-blosc2,228,862,6.1,474,1823,37704,118780
bminor/binutils-gdb,224,768,5.8,402,4140,566243,3176575
ring-lang/ring,222,2287,3.7,1067,6566,350966,2283544
adobe-type-tools/afdko,222,7,5.4,442,3782,22035,168896
DarkflameUniverse/DarkflameServer,221,424,6.9,432,5641,88415,240991
skylersaleh/SkyEmu,217,1679,5,2209,17909,201554,1658216
openvenues/libpostal,213,-1,3.3,185,1184,6733,583235
containers/crun,212,629,7.4,278,1181,2957,28080
cfengine/core,212,-1,7.3,243,2872,20291,129345
airockchip/rknn_model_zoo,212,509,2.7,330,1884,44612,128927
agraef/purr-data,209,1072,3.6,264,3521,128795,726583
OpenVisualCloud/SVT-HEVC,208,583,4.3,336,1211,18026,128202
thalium/icebox,206,595,2.9,1600,16464,1782023,5653522
surge-synthesizer/surge,203,13,5,601,5905,108845,351073
LLNL/RAJA,196,482,6.4,25,266,31700,95427
BespokeSynth/BespokeSynth,195,891,6.2,217,3245,29129,181582
flomesh-io/pipy,193,1000,4.4,735,8556,285333,1171964
beefytech/Beef,191,179,3.8,279,1965,157751,703462
lammps/lammps,187,446,7,673,3661,247240,1223756
iree-org/iree,185,19,5.6,5356,84157,80499,332716
Stephane-D/SGDK,184,24,5.5,26,676,20736,75582
vermaseren/form,183,519,5.5,601,1513,31232,126570
k2-fsa/sherpa-onnx,180,0,4.7,211,1390,5390,39128
TorqueGameEngines/Torque3D,180,2127,5.3,1239,8975,655756,2521112
ptitSeb/box64,177,0,4.2,1702,29250,39628,241323
google-deepmind/mujoco_mpc,177,-1,6.9,608,4305,8619,23107
samtools/htslib,176,1080,6.7,340,1660,17985,66603
keith2018/SoftGLRender,176,682,3.4,760,6308,156601,752696
Ettercap/ettercap,174,0,6.3,195,1157,19548,58324
pmq20/ruby-packer,172,402,3.4,273,1744,182644,1447379
RasPlex/OpenPHT,172,829,1.9,296,2144,522916,2510453
saghul/txiki.js,170,777,5.3,1005,8604,89384,219276
mit-biomimetics/Cheetah-Software,169,77,3.9,2,380,36420,96346
adventuregamestudio/ags,169,224,4.6,575,7824,82598,315926
inviwo/inviwo,168,424,6,1146,11793,179145,542934
LabSound/LabSound,168,475,5,72,746,6519,39319
ipc-sim/IPC,167,49,4.8,349,2322,2437,27101
navit-gps/navit,166,0,5.7,275,2219,39948,183742
axmolengine/axmol,166,859,4.7,572,6602,355041,1539019
Rubberduckycooly/Sonic-Mania-Decompilation,165,141,4.7,130,599,8852,228908
WolfireGames/overgrowth,161,517,4.5,779,4065,384426,2331877
wiredtiger/wiredtiger,157,137,5.7,1539,4125,83550,193614
yasm/yasm,155,358,5.4,134,1122,13344,55793
mfem/mfem,152,-1,7.1,665,4114,67007,407894
LLNL/sundials,152,432,6.1,256,2838,87393,304247
catsout/wallpaper-engine-kde-plugin,151,7,5.4,518,3484,50480,243623
kangjianwei/Data-Structure,150,159,3.4,76,2347,46388,103628
tcltk/tcl,148,1142,5.6,809,3033,118213,230234
yrnkrn/zapcc,147,1,3.2,4415,43165,894807,2602717
jerryuhoo/Fire,147,0,4.8,16,661,2318,14743
renard314/textfairy,146,79,2.3,972,4204,161955,405257
ddiakopoulos/libnyquist,146,155,5.2,50,266,35503,151182
adishavit/argh,146,57,5.1,25,35,652,6106
FundamentalFrequency/LMN-3-DAW,146,0,3.8,7,399,702,14720
zint/zint,145,360,5,166,786,10826,258209
qcad/qcad,145,2058,6.2,1279,9721,267196,1553622
nmwsharp/polyscope,145,1102,5.8,501,5893,11642,210674
microsoft/msix-packaging,145,3631,4,1092,9825,156067,786366
eclipse/omr,144,0,6.6,388,3087,208961,793646
GuitarML/NeuralPi,142,0,4.3,1,41,214,2114
ARM-software/vulkan_best_practice_for_mobile_developers,141,384,5,1087,8569,6555,21927
erich666/GraphicsGems,140,392,4.4,124,1103,15752,53725
bochs-emu/Bochs,140,820,5,207,2337,51093,300795
bigartm/bigartm,140,1071,3.1,574,9836,85838,311660
avrdudes/avrdude,140,229,5.9,283,1783,13167,101450
dpjudas/SurrealEngine,137,754,6.1,597,5078,37783,306019
Try/OpenGothic,137,0,5.7,587,7163,3175,63556
thunder-engine/thunder,134,279,4.9,449,3875,220839,908985
punesemu/puNES,134,1519,4,853,8851,119568,728666
metartc/metaRTC,134,148,3.7,46,1211,137768,160859
envytools/envytools,134,16,4.8,765,5224,11749,111821
CloudCompare/CloudCompare,132,235,5.6,632,5134,71122,272064
GoSSIP-SJTU/Armariris,131,1,2.5,3926,37118,720083,2092898
RobLoach/raylib-cpp,129,-1,6.2,63,707,3046,5831
shaka-project/shaka-packager,128,0,6.6,1399,11051,14240,87702
bjornbytes/lovr,128,116,5.2,589,5993,13718,131333
artclarke/humble-video,128,1137,3.8,823,6515,393158,2253933
pocl/pocl,127,40,5.9,406,1244,27675,157767
Yixin-Hu/TetWild,127,-1,3.8,191,1931,2254,9971
Sneeds-Feed-and-Seed/sneedacity,127,1093,4.7,365,3476,246869,888774
jbehley/SuMa,126,49,4.6,172,2081,2720,14116
coin-or/Ipopt,126,314,5.1,87,792,24127,99406
OpenXRay/xray-16,126,69,4.1,879,15709,121506,745865
espeak-ng/espeak-ng,125,167,5.2,104,501,4981,45452
JoshMarler/react-juce,125,0,3.9,0,7,67544,215327
soedinglab/hh-suite,124,38,4.2,83,331,16529,168548
krb5/krb5,124,1068,5.7,422,4611,75327,301975
MayaPosch/NymphCast,124,769,4,973,6010,194612,820799
MaJerle/stm32-usart-uart-dma-rx-tx,124,9,4.3,225,1820,1749784,4546170
DynamoRIO/drmemory,124,215,3.9,923,6048,28685,134537
nanomq/nanomq,121,1351,5.8,267,2982,2042,26506
rburkholder/trade-frame,120,-1,6.2,434,6427,84535,228366
ptitSeb/box86,120,0,4.6,360,5085,35324,152398
KhronosGroup/KTX-Software,120,2209,5,813,4319,132227,484152
w111liang222/lidar-slam-detection,117,426,2.2,167,1555,111552,392450
vengi-voxel/vengi,117,0,5,1028,8952,148297,735394
thiagoralves/OpenPLC_v3,117,388,4.9,75,1009,73751,213152
RandyGaul/cute_framework,117,150,5.1,1847,5786,49827,327676
Chowdhury-DSP/BYOD,117,0,4.7,12,332,1234,33953
tildearrow/furnace,116,313,4.2,1211,9180,142866,1025803
hanwckf/rt-n56u,116,332,2.5,230,2417,3308594,16228099
ampl/gsl,116,288,4.6,365,2537,64086,297929
squid-cache/squid,114,-1,6.4,619,5034,49258,203333
open5gs/open5gs,114,0,4.7,2519,14968,94110,1095131
tenable/routeros,113,258,4.2,87,1391,2451,11473
NVIDIA/Q2RTX,113,0,5.8,791,7467,20837,146339
facebookresearch/habitat-sim,112,35,8,879,9056,33103,118721
eclipse-wakaama/wakaama,112,1334,7.6,444,2497,4012,32975
BeamMW/beam,112,65,5.9,686,8335,131067,532470
ultimatepp/ultimatepp,111,-1,5,751,8023,231923,1245464
rsummers11/CADLab,111,140,0.4,102,714,49780,249583
Qihoo360/QConf,111,137,2,669,4131,70495,217831
DanBloomberg/leptonica,111,-1,5.2,975,3972,97649,198484
TheAssemblyArmada/Thyme,110,226,5.9,836,6185,38006,313230
pure-data/pure-data,109,873,6.6,204,2230,19651,126996
facebook/igl,109,-1,6.6,758,5361,13529,75531
pthom/hello_imgui,107,-1,4.9,376,3393,9517,55609
enginmanap/limonEngine,106,452,4.8,574,4699,21635,98078
r-lyeh-archived/scriptorium,105,218,2.1,328,2952,430151,1651306
jlblancoc/suitesparse-metis-for-windows,105,258,3.8,278,910,261579,1190819
TASEmulators/desmume,105,-1,3.9,659,6100,121197,461747
PolygonTek/BlueshiftEngine,105,864,2.1,377,2558,239889,904850
vgmstream/vgmstream,104,-1,4.8,299,1917,43215,148266
FreeTDS/freetds,104,21,5,180,1033,18046,97827
DiligentGraphics/DiligentCore,104,62,5.2,1680,12188,60838,262443
libnice/libnice,103,-1,3.8,1457,12273,13697,38160
DCurrent/openbor,103,29,4,233,1631,62585,216743
joncampbell123/dosbox-x,102,1123,6.2,716,5302,323121,1730587
MirrorYuChen/ncnn_example,102,252,3.5,568,2849,75208,458526
sleuthkit/sleuthkit,101,532,6.3,396,2439,94710,198536
mltframework/mlt,101,0,5.4,191,1678,23913,108955
gideros/gideros,101,881,3.6,308,2236,491051,1654582
acassen/keepalived,101,182,5.9,179,1369,11132,67436
markaren/threepp,100,1222,5.6,305,4076,43974,254158
GNOME/libxml2,100,-1,5.5,512,3556,55161,200629
ETLCPP/etl,100,15,5.6,3576,13234,71303,257005
septag/rizz,99,362,3.2,311,2749,27876,196511
mgerdes/Open-Golf,99,78,2.5,258,2159,29148,160897
OGRECave/ogre-next,99,882,4.8,285,4792,161911,465351
gwaldron/osgearth,98,143,5,26,211,92182,570529
OpenBoardView/OpenBoardView,98,0,4.3,281,2547,72314,132863
symengine/symengine,97,2666,6,65,1318,14723,111476
raspberrypi/rpi-imager,97,732,5.3,862,5239,115886,413223
kohler/click,97,905,4.7,265,2829,66633,243252
GPUOpen-Tools/compressonator,97,21,5.1,206,1368,67712,323115
vifm/vifm,94,-1,6.1,124,3751,28529,175370
Samsung/ONE,94,4,5,687,5149,182394,509717
torognes/vsearch,93,118,4.7,69,364,6541,30956
qhull/qhull,93,-1,5.3,270,1010,19938,57549
DanielSWolf/rhubarb-lip-sync,93,128,3.6,305,2450,129430,629649
raspberrypi/userland,92,168,4.3,381,2752,53506,146628
yourWaifu/sleepy-discord,91,240,4.8,510,3593,4243,22936
steineggerlab/foldseek,91,277,5.1,630,3779,49152,419588
Matheus-Garbelini/esp32_bluetooth_classic_sniffer,91,724,2.7,272,5841,261435,520998
zxing-cpp/zxing-cpp,90,465,5.6,214,2011,6589,51763
pcloudcom/console-client,90,1134,3.4,497,4043,95713,257257
Rubberduckycooly/Sonic-1-2-2013-Decompilation,90,258,4.8,260,950,614,38301
