repo, scan-build-bugs, ossf-score, bai-bugs, complex-functions, total-functions, lines-of-code, lines-of-comments
intel/uintr-ipc-bench,0,5.2,0,0,null,1068,2910
intel/safe-arithmetic,0,5.4,322,0,null,98,3864
intel/pailliercryptolib,0,6.5,0,0,null,1437,6298
intel/intel-cpu-frequency-library,0,6.4,0,0,null,60,170
intel/gna,0,6.3,0,0,null,5726,50182
intel/cm-compiler,0,5,140,0,null,1389781,3815126
intel/BDTK,0,7,0,0,null,16107,68236
intel/zephyr-ia,-1,6.4,0,-1,-1,854,4168
intel/zephyr,-1,5.4,0,-1,-1,333297,1235954
intel/x86-simd-sort,-1,6.5,0,-1,-1,405,4209
intel/vpu-nn-cost-model,-1,7.2,0,-1,-1,3365,5860
intel/vmtaint,-1,4.7,273,-1,-1,11,344
intel/uintr-linux-kernel,-1,6.1,0,-1,-1,3867604,23342355
intel/torch-ccl,-1,6.6,-1,-1,-1,488,3138
intel/ros_openvino_toolkit,-1,5.5,0,-1,-1,4329,9339
intel/ros2_openvino_toolkit,-1,6,0,-1,-1,3885,9683
intel/ros2_grasp_library,-1,6.5,0,-1,-1,870,2507
intel/pse-fw,-1,6.4,0,-1,-1,6674,21774
intel/openvino-plugins-for-obs-studio,-1,6.4,0,-1,-1,479,4532
intel/openlldp,-1,7.3,0,-1,-1,9801,49215
intel/opencl-clang,-1,7.4,0,-1,-1,376,1154
intel/ocm,-1,6.7,0,-1,-1,358,2410
intel/numatop,-1,6.2,0,-1,-1,3966,14996
intel/metrics-library,-1,6.5,0,-1,-1,12270,33085
intel/metrics-discovery,-1,7,0,-1,-1,17059,1249160
intel/media-lab,-1,5.6,0,-1,-1,3810,41588
intel/media-analytics,-1,5,0,-1,-1,1413,8719
intel/mainline-tracking,-1,6.9,0,-1,-1,3635876,21477433
intel/mOS,-1,7.3,0,-1,-1,3587053,21090959
intel/lms,-1,6.2,0,-1,-1,34251,168282
intel/linux-libusbi3c,-1,5.1,0,-1,-1,6710,18470
intel/linux-intel-lts,-1,7.2,0,-1,-1,3230849,17451297
intel/libyami,-1,7,0,-1,-1,13755,54594
intel/libxcam,-1,6.7,-1,-1,-1,9690,70127
intel/libva-utils,-1,7.1,0,-1,-1,12005,83863
intel/libaji_client,-1,6.4,0,-1,-1,6405,11334
intel/ledmon,-1,6.8,0,-1,-1,3462,7739
intel/kernel-fuzzer-for-xen-project,-1,5.6,0,-1,-1,838,4876
intel/irqbalance,-1,6.4,-1,-1,-1,855,5251
intel/ipu6-camera-hal,-1,6.2,0,-1,-1,32093,106011
intel/iotg-dpdk-ref-app,-1,6.3,0,-1,-1,146,1812
intel/intel-vaapi-driver,-1,6.3,0,-1,-1,17368,309992
intel/idxd-driver,-1,5.9,0,-1,-1,3223393,18179479
intel/iaa-plugin-rocksdb,-1,6.5,0,-1,-1,20,563
intel/gvt-linux,-1,7.3,0,-1,-1,3923767,23855733
intel/gvk,-1,7.2,0,-1,-1,6177,25248
intel/grub-tdx,-1,6.4,0,-1,-1,44993,265150
intel/gits,-1,7.2,0,-1,-1,11226,153247
intel/fpga-runtime-for-opencl,-1,7.6,0,-1,-1,14773,73685
intel/fineibt_llvm,-1,3.8,-1,-1,-1,1666719,5658968
intel/eth-psm3-fi,-1,5.8,0,-1,-1,25044,87199
intel/eth-mpi-apps,-1,6.1,0,-1,-1,28026,58183
intel/ecfw-zephyr,-1,7,0,-1,-1,5417,15583
intel/dsa-perf-micros,-1,6.4,0,-1,-1,236,5649
intel/double-batched-fft-library,-1,7.3,0,-1,-1,1634,15722
intel/compute-samples,-1,6.6,0,-1,-1,1230,16594
intel/compute-runtime,-1,5.5,0,-1,-1,69287,833358
intel/cloud-client-ai-service-framework,-1,5.9,4,1,null,1839,28976
intel/cassian,-1,7.3,0,-1,-1,6308,40195
intel/amx-linux,-1,6.1,0,-1,-1,3583411,21061568
intel/aji_openocd,-1,3.7,421,-1,-1,47154,231354
intel/ad-rss-lib,-1,6,0,-1,-1,10910,51363
intel/QATzip,-1,9.2,0,-1,-1,3884,15571
intel/QAT_Engine,-1,9.2,0,-1,-1,13519,64716
intel/OpenVINO-optimization-for-PointPillars,-1,6.4,0,-1,-1,266,724
intel/GPGMM,-1,6.3,0,-1,-1,5369,17034
intel/ARM_NEON_2_x86_SSE,-1,6.7,0,-1,-1,1133,13405
intel/metee,-2,6.2,0,2,null,539,3769
intel/ipmctl,-2,6.6,0,2,null,26669,82166
