repo, scan-build-bugs, ossf-score, bai-bugs, complex-functions, total-functions, lines-of-code, lines-of-comments
intel/zlib,-1,4.9,1113,-1,-1,8132,34345
intel/zephyr-ia,-1,6.4,0,-1,-1,854,4168
intel/zephyr,-1,5.4,0,-1,-1,333297,1235954
intel/yarpgen,-1,6.3,816,-1,-1,1003,8251
intel/xpumanager,-1,6.4,-1,-1,-1,60802,254309
intel/x86-simd-sort,-1,6.5,0,-1,-1,405,4209
intel/vpu-nn-cost-model,-1,7.2,0,-1,-1,3365,5860
intel/vmtaint,-1,4.7,477,-1,-1,11,344
intel/uintr-linux-kernel,-1,6.1,0,-1,-1,3867604,23342355
intel/uintr-ipc-bench,-1,5.2,0,-1,-1,1068,2910
intel/torch-ccl,-1,6.6,-1,-1,-1,488,3138
intel/thermal_daemon,-1,7.4,2,-1,-1,2669,13803
intel/systemc-compiler,-1,7.2,299,-1,-1,53260,193142
intel/safestringlib,-1,6.1,0,-1,-1,7320,14965
intel/safe-arithmetic,-1,5.4,270,-1,-1,98,3864
intel/ros_openvino_toolkit,-1,5.5,0,-1,-1,4329,9339
intel/ros2_openvino_toolkit,-1,6,0,-1,-1,3885,9683
intel/ros2_grasp_library,-1,6.5,0,-1,-1,870,2507
intel/qpl,-1,8.3,0,-1,-1,15083,104492
intel/qatlib,-1,8.8,441,-1,-1,87756,115806
intel/pti-gpu,-1,6.3,-1,-1,-1,527,31517
intel/pse-fw,-1,6.4,0,-1,-1,6674,21774
intel/pcm,-1,6.8,-1,-1,-1,4085,36349
intel/pailliercryptolib,-1,6.5,0,-1,-1,1437,6298
intel/openvino-plugins-for-obs-studio,-1,6.4,0,-1,-1,479,4532
intel/openlldp,-1,7.3,0,-1,-1,9801,49215
intel/opencl-intercept-layer,-1,5.8,-1,-1,-1,3720,41800
intel/opencl-clang,-1,7.4,0,-1,-1,376,1154
intel/oneAPI-Ultrasound-Beamforming-Library,-1,6.1,0,-1,-1,2411,16424
intel/ocm,-1,6.7,0,-1,-1,358,2410
intel/numatop,-1,6.2,0,-1,-1,3966,14996
intel/metrics-library,-1,6.5,0,-1,-1,12270,33085
intel/metrics-discovery,-1,7,0,-1,-1,17059,1249160
intel/metee,-1,6.2,0,-1,-1,539,3769
intel/media-lab,-1,5.6,0,-1,-1,3810,41588
intel/media-driver,-1,7.2,-1,-1,-1,392293,2767785
intel/media-analytics,-1,5,0,-1,-1,1413,8719
intel/mainline-tracking,-1,6.9,0,-1,-1,3635876,21477433
intel/mOS,-1,7.3,0,-1,-1,3587053,21090959
intel/lms,-1,6.2,0,-1,-1,34251,168282
intel/linux-vpu-driver,-1,6.5,0,-1,-1,15407,37378
intel/linux-sgx,-1,8.2,-1,-1,-1,149986,357542
intel/linux-libusbi3c,-1,5.1,0,-1,-1,6710,18470
intel/linux-intel-lts,-1,7.2,0,-1,-1,3230849,17451297
intel/libyami,-1,7,0,-1,-1,13755,54594
intel/libxcam,-1,6.7,-1,-1,-1,9690,70127
intel/libvirt-tdx,-1,6,-1,-1,-1,89836,577539
intel/libva-utils,-1,7.1,0,-1,-1,12005,83863
intel/libva,-1,7.1,13,-1,-1,11481,17006
intel/libipt,-1,7.6,444,-1,-1,9973,40005
intel/libaji_client,-1,6.4,0,-1,-1,6405,11334
intel/ledmon,-1,6.8,0,-1,-1,3462,7739
intel/kernel-fuzzer-for-xen-project,-1,5.6,0,-1,-1,838,4876
intel/isa-l,-1,7.6,0,-1,-1,6238,45579
intel/irqbalance,-1,6.4,-1,-1,-1,855,5251
intel/ipu6-camera-hal,-1,6.2,0,-1,-1,32093,106011
intel/ipp-crypto,-1,7.6,0,-1,-1,56329,139342
intel/ipmctl,-1,6.6,0,-1,-1,26669,82166
intel/iotg_tsn_ref_sw,-1,6.5,0,-1,-1,1077,3493
intel/iotg-mgbe-undi-driver,-1,6.2,-1,-1,-1,465179,816868
intel/iotg-lin-gfx-libva,-1,6.4,12,-1,-1,6624,13280
intel/iotg-dpdk-ref-app,-1,6.3,0,-1,-1,146,1812
intel/intel-vaapi-driver,-1,6.3,0,-1,-1,17368,309992
intel/intel-qs,-1,5.4,249,-1,-1,4647,16252
intel/intel-ipsec-mb,-1,6.8,651,-1,-1,16464,104410
intel/intel-graphics-compiler,-1,4.8,5560,-1,-1,123824,861571
intel/intel-extension-for-transformers,-1,6.4,-1,-1,-1,10567,56358
intel/intel-device-resource-mgt-lib,-1,6.5,3247,-1,-1,102766,221371
intel/intel-cpu-frequency-library,-1,6.4,0,-1,-1,60,170
intel/igsc,-1,7.6,0,-1,-1,2014,17715
intel/idxd-driver,-1,5.9,0,-1,-1,3223393,18179479
intel/idxd-config,-1,6.8,39,-1,-1,1698,18568
intel/ideep,-1,6.2,-1,-1,-1,2426,23324
intel/iaa-plugin-rocksdb,-1,6.5,0,-1,-1,20,563
intel/hexl-fpga,-1,5.5,11,-1,-1,1278,10780
intel/hexl,-1,6.2,64,-1,-1,2325,14938
intel/gvt-linux,-1,7.3,0,-1,-1,3923767,23855733
intel/gvk,-1,7.2,0,-1,-1,6177,25248
intel/grub-tdx,-1,6.4,0,-1,-1,44993,265150
intel/gna,-1,6.3,0,-1,-1,5726,50182
intel/gmmlib,-1,7.6,615,-1,-1,26973,79593
intel/gdb,-1,8.2,-1,-1,-1,553261,2997156
intel/fpga-runtime-for-opencl,-1,7.6,0,-1,-1,14773,73685
intel/fineibt_llvm,-1,3.8,-1,-1,-1,1666719,5658968
intel/eth-psm3-fi,-1,5.8,0,-1,-1,25044,87199
intel/eth-mpi-apps,-1,6.1,0,-1,-1,28026,58183
intel/ecfw-zephyr,-1,7,0,-1,-1,5417,15583
intel/dsa-perf-micros,-1,6.4,0,-1,-1,236,5649
intel/dptf,-1,7.5,9,-1,-1,47198,181645
intel/double-batched-fft-library,-1,7.4,0,-1,-1,1634,15722
intel/crypto-api-toolkit,-1,6.2,0,-1,-1,21768,51359
intel/compute-samples,-1,6.6,0,-1,-1,1230,16594
intel/compute-runtime,-1,5.5,0,-1,-1,69280,832852
intel/compute-benchmarks,-1,6.4,-1,-1,-1,19532,56211
intel/compute-aggregation-layer,-1,7.6,3749,-1,-1,26142,109945
intel/compile-time-init-build,-1,6.1,-1,-1,-1,1527,8634
intel/cm-cpu-emulation,-1,5.4,2106,-1,-1,8457,47845
intel/cm-compiler,-1,5,140,-1,-1,1389781,3815126
intel/cloud-client-ai-service-framework,-1,5.9,4,-1,-1,1839,28976
intel/cassian,-1,7.3,0,-1,-1,6308,40195
intel/aubstream,-1,7.1,0,-1,-1,1203,12964
intel/amx-linux,-1,6.1,0,-1,-1,3583411,21061568
intel/aji_openocd,-1,3.7,421,-1,-1,47154,231354
intel/ad-rss-lib,-1,6,0,-1,-1,10910,51363
intel/SGXDataCenterAttestationPrimitives,-1,8.2,-1,-1,-1,32848,97907
intel/QATzip,-1,9.2,0,-1,-1,3884,15571
intel/QAT_Engine,-1,9.2,0,-1,-1,13519,64716
intel/OpenVINO-optimization-for-PointPillars,-1,6.4,0,-1,-1,266,724
intel/MTMC-Temporal-Profiler,-1,3.8,0,-1,-1,629,1922
intel/Intel-Vector-Data-Streaming-Library,-1,5.7,3,-1,-1,11405,52309
intel/IA-Hardware-Composer,-1,6.2,0,-1,-1,6992,38368
intel/GPGMM,-1,6.3,0,-1,-1,5369,17034
intel/DML,-1,8.4,-1,-1,-1,8795,30840
intel/BDTK,-1,7,0,-1,-1,16107,68236
intel/ARM_NEON_2_x86_SSE,-1,6.7,0,-1,-1,1133,13405
