repo, scan-build-bugs, bai-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
AdamYuan/SparseVoxelOctree,1651,111,0,4.8,250,2672,39350,181362
xroche/httrack,1252,-1,362,6.4,317,1269,9540,47642
GStreamer/gstreamer,1248,0,-1,5.4,13832,71716,460691,2104528
LibreDWG/libredwg,1196,-1,-1,5.9,499,16612,14499,343333
mitsuba-renderer/nanogui,1011,0,0,5.4,56,1075,6918,22150
LiangliangNan/PolyFit,916,-1,0,4.6,11979,40554,239470,796732
performancecopilot/pcp,842,21,1856,6.1,2927,16641,103410,1049806
YannickJadoul/Parselmouth,721,0,0,4.4,2196,13653,403531,1142339
rizinorg/rizin,718,-1,126,7.1,2268,15883,73632,719257
pschatzmann/arduino-audio-tools,673,0,0,5.9,1586,13450,19038,445891
plugdata-team/plugdata,638,-1,3038,5.5,926,11883,49848,262352
JACoders/OpenJK,632,-1,0,4.6,1618,11782,221983,857099
fltk/fltk,589,250,545,7.6,277,3141,77237,248588
hypre-space/hypre,576,-1,-1,8.3,619,2441,100575,470413
terrychou/iVim,570,487,2574,4.4,857,4511,87678,390541
bminor/bash,567,-1,354,6.4,339,2087,25561,125326
applidium/Vim,552,355,3336,4.6,803,4065,72193,342824
F-Stack/f-stack,551,-1,-1,6.8,2787,33539,1208067,4561119
RasPlex/OpenPHT,550,-1,3786,4.4,2150,13196,523499,2509870
DCMTK/dcmtk,541,-1,54,7.6,1845,20129,272610,1019900
artclarke/humble-video,524,-1,1137,6.3,2690,17684,393158,2253933
eliaskosunen/scnlib,500,0,0,4.8,9,234,4151,24205
RfidResearchGroup/proxmark3,485,956,0,6.5,1046,8570,85673,303468
numberwolf/h265web.js,474,0,-1,5,2421,14399,153308,1083903
bitnine-oss/agensgraph,461,-1,-1,4.9,3194,15814,379245,911605
termux/termux-x11,458,-1,0,5.9,1404,10068,354,8946
IvorySQL/IvorySQL,455,-1,-1,6.1,3759,16382,432546,1014594
cnr-isti-vclab/meshlab,439,169,0,5.2,981,8703,75089,441382
BrunoLevy/geogram,437,51,0,5.3,951,6366,162387,413221
OSGeo/gdal,433,-1,0,7.1,2639,16266,335238,1300351
Farama-Foundation/ViZDoom,432,0,0,5.4,789,6818,81540,367951
tangrams/tangram-es,419,-1,0,4.8,2544,13868,51172,201386
hanwckf/rt-n56u,408,-1,265,3.2,1427,9474,3308594,16228099
dhewm/dhewm3,402,349,0,5.9,777,8881,134639,440068
0vercl0k/rp,394,0,0,4.8,103,1716,24981,149286
unicode-org/icu,387,0,1564,7.8,810,7161,229235,945250
vslavik/poedit,375,-1,764,5,500,4891,863764,3887871
etternagame/etterna,369,-1,-1,4.4,1858,17805,308923,1064434
sheredom/utest.h,368,-1,0,6,194,836,570,3895
gongminmin/KlayGE,361,-1,0,5.7,2121,17116,15531,186555
gphoto/libgphoto2,340,-1,817,7,241,1729,31798,137487
KhronosGroup/COLLADA2GLTF,334,-1,0,4.1,2754,15104,451,7894
falkTX/Carla,332,325,0,3.7,190,1774,209816,784209
alexbatalov/fallout1-ce,330,-1,0,5.5,285,2489,8309,105597
alexbatalov/fallout2-ce,329,-1,0,5.7,338,2755,10559,116105
FreeFem/FreeFem-sources,329,-1,2556,6,563,3081,40950,270968
klaussilveira/qengine,327,0,320,4.4,917,7504,75142,426378
USBhost/MX_FFmpeg,327,-1,1323,4.3,1315,7146,368156,1916109
dfranx/SHADERed,325,0,1,4.6,992,7341,34865,183476
gammu/gammu,322,-1,0,7,247,2051,18625,111697
OpenEnroth/OpenEnroth,316,-1,0,7.5,556,5891,15176,139310
pierreguillot/Camomile,305,389,0,5.2,308,4304,4493,15556
mangoszero/server,295,-1,0,4.6,1007,10309,41360,227325
micmacIGN/micmac,293,1239,0,3.2,774,12283,218549,1475120
acl-dev/acl,293,-1,0,6.4,522,9752,179132,506798
Stichting-MINIX-Research-Foundation/minix,289,1840,383,5.2,2702,20852,1679506,5601445
DynamoRIO/drmemory,287,-1,0,4.7,811,5441,28683,134462
freesurfer/freesurfer,286,5,0,4.7,2201,10392,244742,1265842
casadi/casadi,285,11,0,5.5,388,4339,87235,185814
julius-speech/julius,278,339,187,5.7,198,1361,76584,175580
TASEmulators/fceux,276,153,0,5.5,231,3562,43474,251182
SWI-Prolog/swipl-devel,275,-1,0,6,469,4182,22002,156765
OpenSmalltalk/opensmalltalk-vm,267,2108,594,5,353,4610,954028,4317288
DarkflameUniverse/DarkflameServer,265,0,0,8.1,407,5427,88634,234871
wheybags/freeablo,259,-1,2584,4.8,1333,9105,212090,975094
LiangliangNan/Easy3D,259,0,0,5.6,552,4088,122024,480589
qicosmos/iguana,258,-1,0,7.1,21,494,3058,20947
openbabel/openbabel,254,171,0,5.7,853,3515,66048,306547
csound/csound,254,0,2,3.6,511,4210,42127,212659
SerenityOS/jakt,248,-1,0,6.9,428,2306,2809,142832
simbody/simbody,246,-1,0,5.3,402,4220,118684,269106
audeering/opensmile,246,594,0,5.6,442,3310,19017,101842
muhanzhang/SEAL,242,-1,496,3.7,308,897,11981,75251
skylicht-lab/skylicht-engine,241,-1,0,5.3,668,6403,181414,605546
coronalabs/corona,241,-1,136,4.9,762,9009,340649,1045054
TheAssemblyArmada/Thyme,241,-1,0,7,539,4175,34925,259562
seemoo-lab/nexmon,240,-1,2003,5.4,3240,29781,1060255,5509333
Hamlib/Hamlib,239,10693,492,6.8,849,3813,49652,237214
ring-lang/ring,238,-1,2009,5.7,1097,6784,324210,2036600
bminor/binutils-gdb,236,10738,1533,7.3,367,3621,560776,3022228
