repo, scan-build-bugs, bai-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
AdamYuan/SparseVoxelOctree,1668,189,565,4.7,393,3927,40451,193347
LibreDWG/libredwg,1354,-1,-1,4.8,520,16715,14831,864699
xroche/httrack,1252,-1,362,6.4,317,1269,9540,47642
openpbs/openpbs,1159,-1,-1,6.9,877,4933,109673,214245
mitsuba-renderer/nanogui,1011,0,-1,5.4,56,1075,6918,22150
LiangliangNan/PolyFit,880,-1,315,4.6,11982,40554,239470,796732
performancecopilot/pcp,857,22,130,5.6,2958,16871,104548,1055125
rizinorg/rizin,743,-1,126,7,2568,17229,75371,728534
pschatzmann/arduino-audio-tools,734,0,2589,6.2,3060,21853,19879,451019
plugdata-team/plugdata,694,-1,0,5.8,1022,12741,39284,182026
JACoders/OpenJK,663,-1,-1,5.5,1753,12676,231763,927720
OpenEnroth/OpenEnroth,588,-1,10,6.6,1060,12447,15531,136001
hypre-space/hypre,580,-1,-1,8.2,625,2492,102567,477437
terrychou/iVim,570,-1,0,4.4,857,4511,87678,390541
bminor/bash,567,-1,355,6.4,339,2087,25561,125326
applidium/Vim,555,-1,3324,4.6,807,4074,72193,342824
DCMTK/dcmtk,541,-1,66,7.6,1859,20458,272627,1020064
ApsaraDB/PolarDB-for-PostgreSQL,534,-1,-1,6.3,3208,20103,515600,1230608
eliaskosunen/scnlib,495,0,398,4.4,9,235,4151,24205
RfidResearchGroup/proxmark3,483,-1,-1,6.6,1070,8770,86350,308235
fltk/fltk,471,175,620,7.3,284,3268,79152,251909
IvorySQL/IvorySQL,462,-1,-1,6.8,3775,16491,430434,1007934
bitnine-oss/agensgraph,461,-1,-1,4.8,3194,15814,379245,911605
qicosmos/iguana,435,-1,749,6.9,56,827,3191,25858
BrunoLevy/geogram,435,51,0,5.3,953,6389,162942,415012
Farama-Foundation/ViZDoom,432,-1,266,5.1,789,6819,81546,368208
tangrams/tangram-es,417,-1,953,4.4,2544,13868,51172,201386
dhewm/dhewm3,403,-1,-1,5.3,777,8882,134930,441373
0vercl0k/rp,394,0,237,4.6,103,1716,24981,149286
vslavik/poedit,375,-1,789,5,500,4891,864123,3889635
unicode-org/icu,371,-1,1660,8.7,811,7215,230583,950255
gongminmin/KlayGE,361,-1,-1,6.5,2121,17123,15532,186781
veyon/veyon,346,774,0,5.7,333,1233,11657,45389
alexbatalov/fallout1-ce,334,-1,294,5.4,285,2488,8321,105664
KhronosGroup/COLLADA2GLTF,332,-1,-1,4,2754,15104,451,7894
falkTX/Carla,331,640,-1,3.9,194,1846,209884,785111
alexbatalov/fallout2-ce,329,-1,320,5.5,340,2795,10857,120187
klaussilveira/qengine,327,0,493,4.4,917,7504,75142,426378
USBhost/MX_FFmpeg,327,-1,1363,4.3,1315,7146,368156,1916109
ellson/MOTHBALLED-graphviz,323,-1,-1,5.1,519,3320,33441,1062670
gammu/gammu,322,-1,0,7.3,247,2051,18624,111693
FreeFem/FreeFem-sources,319,-1,-1,5.4,598,3150,42048,277642
Skulltrail192/One-Core-Api,311,-1,186,5.9,287,1986,1053655,6667082
pierreguillot/Camomile,305,432,968,4.5,308,4304,4493,15556
mangoszero/server,295,-1,-1,4.3,1007,10309,41360,227325
acl-dev/acl,295,-1,836,6.4,524,9790,179332,508509
Stichting-MINIX-Research-Foundation/minix,288,1636,383,5.2,2702,20852,1679506,5601445
DynamoRIO/drmemory,288,-1,-1,4.6,836,5557,28685,134505
freesurfer/freesurfer,286,5,-1,4.7,2207,10399,245353,1268812
micmacIGN/micmac,284,-1,0,3.2,774,12287,244013,1619086
casadi/casadi,284,37,329,5.6,388,4355,87817,187606
TASEmulators/fceux,276,-1,0,5.2,231,3565,43476,251236
termux/termux-x11,270,-1,0,5.4,927,5946,266,4109
OpenSmalltalk/opensmalltalk-vm,267,2667,594,3.9,353,4610,948739,4301753
wheybags/freeablo,260,-1,3064,4.7,1323,9084,212090,975094
LiangliangNan/Easy3D,260,0,0,5.6,561,4124,121820,479247
TheAssemblyArmada/Thyme,255,-1,-1,6.9,735,5614,36973,289563
openbabel/openbabel,254,171,-1,6,853,3515,66050,306559
csound/csound,254,-1,2,4,511,4210,42127,212659
HarbourMasters/Shipwright,249,0,468,6.2,1545,15863,23406,524031
DarkflameUniverse/DarkflameServer,247,0,521,8.1,407,5462,88468,237319
simbody/simbody,246,-1,-1,5.7,402,4220,118723,269198
audeering/opensmile,246,-1,1685,5.6,442,3310,19017,101851
groonga/groonga,245,-1,-1,6.3,1253,4276,12883,611784
muhanzhang/SEAL,243,-1,487,3.6,308,897,11981,75251
coronalabs/corona,239,-1,-1,4.8,763,9035,340664,1046094
skylicht-lab/skylicht-engine,238,-1,-1,5.3,669,6450,181894,607878
trailofbits/cb-multios,235,-1,-1,5.6,2172,35525,420695,6908805
pachterlab/kallisto,234,1784,1496,5,327,1991,25199,120030
seemoo-lab/nexmon,233,-1,2000,6.1,3290,29804,1060708,5531606
bluekitchen/btstack,233,-1,867,6.8,765,17005,639020,1313752
xapian/xapian,232,-1,1,5.8,1931,11135,42621,122610
Hamlib/Hamlib,229,9429,-1,6.8,879,3883,50213,249260
vhelin/wla-dx,228,-1,0,6.5,170,490,3828,60065
ring-lang/ring,227,-1,2289,5.7,1080,6714,336554,2076818
jlblancoc/suitesparse-metis-for-windows,226,387,345,3.9,241,1270,125585,415587
dethrace-labs/dethrace,226,-1,464,6,396,5445,13703,201366
bminor/binutils-gdb,216,-1,783,7.3,278,2581,563727,3167300
openvenues/libpostal,213,-1,-1,4.3,185,1184,6733,583235
cfengine/core,211,3438,797,7.9,241,2860,20082,128099
OpenVisualCloud/SVT-HEVC,208,41,583,4.9,336,1211,18026,128202
thalium/icebox,206,-1,595,3.4,1600,16464,1782023,5653522
containers/crun,206,0,604,7.4,274,1156,2679,26492
surge-synthesizer/surge,204,-1,13,6.3,586,5756,108168,343193
adobe-type-tools/afdko,201,764,7,6.2,442,3782,22035,168892
agraef/purr-data,199,11,1039,5.1,240,3219,128795,726583
Themaister/Granite,198,-1,-1,6.5,1766,15245,17345,126240
ipc-sim/IPC,196,0,2,5.1,397,3356,2436,27097
lammps/lammps,194,250,443,7.9,700,3641,242290,1192958
beefytech/Beef,191,61,103,5.7,279,1962,157784,701525
bjornbytes/lovr,190,0,0,5.6,587,5999,13466,125691
vermaseren/form,183,276,515,4.9,601,1513,31200,126488
eclipse-iceoryx/iceoryx,182,43,29,6.9,3,577,34470,120679
ablab/spades,181,-1,0,4.2,557,3284,230221,1051411
keith2018/SoftGLRender,179,396,690,3.5,779,6415,156601,752682
google-deepmind/mujoco_mpc,174,-1,-1,7.6,595,4081,7795,20357
adventuregamestudio/ags,174,1827,219,5.1,581,7763,99596,328170
samtools/htslib,173,2267,1038,7.8,337,1627,17602,65144
pmq20/ruby-packer,172,-1,402,3.9,276,1759,182644,1447379
RasPlex/OpenPHT,172,-1,828,4.4,296,2144,523499,2509870
LabSound/LabSound,170,597,476,6.2,72,740,6508,40286
wiredtiger/wiredtiger,169,3,0,7.3,1437,3831,76842,177401
mit-biomimetics/Cheetah-Software,169,-1,77,6,2,380,36420,96346
