repo, scan-build-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
omnigres/omnigres,1902,1232,4.8,4771,37907,7616,64946
AdamYuan/SparseVoxelOctree,1668,566,3.9,393,3927,40451,193350
GStreamer/gstreamer,1394,-1,3.4,15243,82319,474058,2196501
LibreDWG/libredwg,1352,-1,4.6,542,16748,14985,873276
openpbs/openpbs,1154,-1,6.3,877,4932,109790,214364
mitsuba-renderer/nanogui,1011,0,4.4,56,1075,6918,22150
LiangliangNan/PolyFit,922,315,4.9,11982,40554,239474,796752
BlitterStudio/amiberry,875,92,5,729,20825,83190,885508
performancecopilot/pcp,855,156,5.5,3004,16991,105632,1329216
SwagSoftware/Kisak-Strike,851,1528,2.9,4034,57458,958786,4412096
nmellado/Super4PCS,823,0,3.5,445,1638,27947,114790
rizinorg/rizin,774,126,-1,2668,17670,82371,775848
plugdata-team/plugdata,750,993,5.6,1112,13653,39485,186536
polyfem/polyfem,742,-1,5.9,4225,14253,9888,82798
ablab/spades,738,2304,3.9,1545,9106,575712,1112426
JACoders/OpenJK,663,0,5,1760,12690,231790,928278
pschatzmann/arduino-audio-tools,642,2498,5.6,3019,20713,32272,532393
xroche/httrack,626,362,4.9,164,672,9541,47434
DCMTK/dcmtk,603,65,5,2057,21561,272181,1019670
bluekitchen/btstack,592,967,4,1659,33564,640478,1318253
F-Stack/f-stack,576,476,3.6,2993,35147,1226972,4671069
terrychou/iVim,570,0,1.7,857,4511,87678,390541
bminor/bash,567,356,5.1,339,2087,25567,125350
neoml-lib/neoml,555,365,6.5,870,13988,31581,176488
applidium/Vim,552,-1,1.1,803,4065,72193,342824
ApsaraDB/PolarDB-for-PostgreSQL,534,-1,5.3,3208,20102,517118,1238929
MythTV/mythtv,524,1574,4.9,2863,18057,347460,2087745
hypre-space/hypre,507,-1,7.4,626,2520,103496,481772
fltk/fltk,479,606,6.2,307,3606,83434,262209
IvorySQL/IvorySQL,462,-1,5.7,3775,16494,430469,1008052
bitnine-oss/agensgraph,461,-1,3.8,3194,15814,379245,911605
RfidResearchGroup/proxmark3,453,1004,6.2,1128,9160,88598,323123
BrunoLevy/geogram,440,0,4.9,976,6491,165849,431402
qicosmos/iguana,439,33,6.6,57,846,3151,26238
Farama-Foundation/ViZDoom,434,276,5.1,789,6819,81551,368426
tangrams/tangram-es,417,27,4.2,2544,13868,51172,201386
dhewm/dhewm3,401,-1,4.5,778,8895,135139,442248
0vercl0k/rp,394,237,4,103,1716,24981,149304
etternagame/etterna,369,449,4.3,1858,17805,308923,1064434
jupyter-xeus/cpp-terminal,353,152,5.3,29,329,1169,7212
unicode-org/icu,352,1624,8.8,813,7426,232138,952885
veyon/veyon,338,0,5.4,333,1233,11661,45700
alexbatalov/fallout1-ce,334,293,5.2,285,2488,8321,105677
KhronosGroup/COLLADA2GLTF,332,190,3.6,2754,15104,451,7894
falkTX/Carla,331,-1,3.2,195,1847,209788,785272
alexbatalov/fallout2-ce,330,319,5.3,340,2796,10872,120205
klaussilveira/qengine,327,493,3.9,917,7504,75142,426378
USBhost/MX_FFmpeg,327,1363,1.6,1315,7146,368156,1916109
gammu/gammu,322,0,5.9,247,2051,18624,111693
FreeFem/FreeFem-sources,319,-1,3.7,598,3159,42114,278388
Skulltrail192/One-Core-Api-Source,311,186,3.6,287,1986,1054351,6690621
skylicht-lab/skylicht-engine,310,-1,4.6,804,8101,206749,807243
HarbourMasters/Shipwright,308,19,5.9,1294,13568,22219,496660
pierreguillot/Camomile,305,968,4.4,308,4304,4493,15556
adaptech-cz/Tesseract4Android,295,893,4,1598,8569,171861,445888
acl-dev/acl,295,679,4.4,526,9798,179612,510413
DynamoRIO/drmemory,294,-1,4.2,923,6048,28685,134537
mangoszero/server,291,-1,3.2,849,9495,41361,227353
Stichting-MINIX-Research-Foundation/minix,288,383,2.4,2702,20852,1679506,5601445
freesurfer/freesurfer,286,1002,2.1,2222,10443,246474,1274910
micmacIGN/micmac,284,9,2.8,775,12385,246794,1634952
casadi/casadi,284,329,5,389,4372,88992,190065
TheAssemblyArmada/Thyme,276,226,6.5,836,6185,38006,313230
termux/termux-x11,271,0,4.8,928,5953,311,4628
OpenSmalltalk/opensmalltalk-vm,267,594,4.4,353,4610,948851,4302905
LiangliangNan/Easy3D,266,5,5,570,4271,123686,498992
Themaister/Granite,264,-1,5.8,2478,20013,17693,132042
wheybags/freeablo,260,3054,2.3,1323,9084,212090,975094
openbabel/openbabel,255,96,5.3,853,3512,66068,306793
csound/csound,254,2,3.8,511,4210,42127,212659
simbody/simbody,246,-1,5.5,404,4227,119008,269594
audeering/opensmile,246,1685,3.1,442,3310,19017,101851
muhanzhang/SEAL,243,487,0.2,308,897,11981,75251
STJr/SRB2,242,266,3.3,814,6137,96611,434306
bminor/binutils-gdb,240,722,5.8,461,4677,565018,3172112
coronalabs/corona,239,-1,4,763,9060,340776,1046579
