repo, scan-build-bugs, bai-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
AdamYuan/SparseVoxelOctree,1651,111,0,4.8,250,2672,39350,181362
GStreamer/gstreamer,1262,0,-1,5.4,13812,71623,458969,2095607
xroche/httrack,1252,-1,362,6.4,317,1269,9540,47642
LibreDWG/libredwg,1195,-1,-1,5.6,498,16594,14478,343366
mitsuba-renderer/nanogui,1011,0,0,5.4,56,1075,6918,22150
LiangliangNan/PolyFit,916,-1,0,4.6,11979,40554,239470,796732
performancecopilot/pcp,842,21,1875,6.2,2923,16629,103336,1048731
YannickJadoul/Parselmouth,721,0,0,4.6,2196,13653,403531,1142339
rizinorg/rizin,712,-1,126,7.1,2257,15669,73372,717404
pschatzmann/arduino-audio-tools,656,0,0,6,1571,13135,18988,445543
plugdata-team/plugdata,638,-1,3038,5.6,926,11901,49782,262365
JACoders/OpenJK,632,-1,0,4.6,1618,11782,221983,857091
fltk/fltk,587,357,520,7.6,276,3140,77204,248486
hypre-space/hypre,576,-1,-1,8.3,620,2440,100920,471621
terrychou/iVim,570,-1,2348,4.4,857,4511,87678,390541
RasPlex/OpenPHT,568,-1,4153,4.4,2164,13338,523499,2509870
bminor/bash,567,-1,357,6.4,339,2087,25561,125326
applidium/Vim,552,355,3334,4.6,803,4065,72193,342824
F-Stack/f-stack,551,-1,-1,6.8,2787,33539,1208067,4561119
limbo018/DREAMPlace,537,0,0,6.3,170,2734,5746,32137
artclarke/humble-video,524,-1,1137,6.3,2690,17684,393158,2253933
eliaskosunen/scnlib,500,0,0,4.8,9,234,4151,24205
RfidResearchGroup/proxmark3,485,1222,0,6.8,1042,8568,85614,303219
DCMTK/dcmtk,479,-1,4,7.6,1717,17894,258538,985758
numberwolf/h265web.js,474,0,-1,5,2421,14399,153308,1083903
bitnine-oss/agensgraph,461,-1,-1,5,3194,15814,379245,911605
cnr-isti-vclab/meshlab,439,-1,0,5.2,981,8703,75089,441382
BrunoLevy/geogram,437,51,0,5.3,951,6367,162355,413258
OSGeo/gdal,433,-1,0,7,2629,16156,333018,1291279
Farama-Foundation/ViZDoom,432,0,0,5.4,789,6818,81540,367951
IvorySQL/IvorySQL,425,-1,-1,6,3509,15562,420283,974951
tangrams/tangram-es,419,-1,0,4.8,2544,13868,51172,201386
hanwckf/rt-n56u,413,-1,309,3.1,1445,9631,3308594,16228099
dhewm/dhewm3,402,-1,0,6.1,777,8881,134639,440068
0vercl0k/rp,394,0,0,4.9,103,1716,24981,149286
unicode-org/icu,387,0,1564,6.7,809,7160,228747,943224
vslavik/poedit,375,-1,764,5,500,4891,863762,3887843
sheredom/utest.h,368,-1,0,6.6,194,836,570,3895
gongminmin/KlayGE,361,-1,0,5.7,2121,17116,15531,186555
KhronosGroup/COLLADA2GLTF,334,-1,0,4.1,2754,15104,451,7894
alexbatalov/fallout1-ce,330,-1,0,4.5,284,2482,8292,105379
FreeFem/FreeFem-sources,329,-1,2556,5.8,563,3081,40950,270968
klaussilveira/qengine,327,0,320,4.4,917,7504,75142,426378
alexbatalov/fallout2-ce,327,-1,0,5.7,336,2682,10453,114239
USBhost/MX_FFmpeg,327,-1,1323,4.3,1315,7146,368156,1916109
dfranx/SHADERed,325,0,1,4.6,992,7341,34865,183476
OpenEnroth/OpenEnroth,324,-1,0,7.5,566,5866,15141,140058
ellson/MOTHBALLED-graphviz,323,-1,-1,5.1,519,3320,33441,1062670
pierreguillot/Camomile,322,417,0,4.5,308,4304,4493,15553
gammu/gammu,322,-1,0,6.8,247,2051,18625,111697
Ubpa/Utopia,299,-1,0,6.4,207,3594,2271,19695
mangoszero/server,295,-1,0,4.6,1007,10309,41360,227325
micmacIGN/micmac,293,1239,0,3.2,774,12283,218366,1474259
Stichting-MINIX-Research-Foundation/minix,289,1594,383,5.2,2702,20852,1679506,5601445
acl-dev/acl,287,-1,0,6.4,522,9746,179034,506073
