repo, bugs, ossf score, complex functions, total functions
intel/gdb,228,8.2,364,3564
intel/xpumanager,85,6.4,530,3892
intel/intel-device-resource-mgt-lib,67,6.5,226,1970
intel/compute-aggregation-layer,62,7.6,122,1328
intel/qatlib,37,8.7,392,1365
intel/iotg-mgbe-undi-driver,37,6.2,162,1122
intel/gmmlib,26,7.6,340,1410
intel/systemc-compiler,22,7.4,32,1099
intel/ideep,14,6.2,302,1375
intel/intel-ipsec-mb,11,6.8,84,592
intel/opencl-intercept-layer,10,5.7,223,412
intel/intel-graphics-compiler,10,4,83,1167
intel/zlib,8,4.9,31,221
intel/qpl,8,8.3,205,1505
intel/linux-sgx,8,8.2,126,992
intel/idxd-config,8,6.8,31,216
intel/media-driver,7,7,10,101
intel/intel-extension-for-transformers,6,7.2,788,5332
intel/hexl,6,6.2,13,236
intel/IA-Hardware-Composer,6,6.2,4,117
intel/dptf,5,7.5,46,2248
intel/pcm,4,6.8,82,782
intel/DML,4,8.4,75,544
intel/libva,3,7.1,21,326
intel/isa-l,3,7.6,23,158
intel/cm-cpu-emulation,3,5.4,4,110
intel/uintr-ipc-bench,2,5.2,0,104
intel/metee,2,6.2,2,65
intel/ipp-crypto,2,7.3,4,266
intel/iotg_tsn_ref_sw,2,6.8,4,19
intel/iotg-lin-gfx-libva,2,6.4,15,303
intel/intel-cpu-frequency-library,2,6.4,0,5
intel/MTMC-Temporal-Profiler,2,5.9,2,37
intel/linux-vpu-driver,1,6.5,32,2174
intel/compile-time-init-build,1,5.9,5,458
intel/cloud-client-ai-service-framework,1,5.9,1,15
intel/yarpgen,0,6.5,15,228
intel/thermal_daemon,0,7.3,30,335
intel/safestringlib,0,6.1,19,84
intel/safe-arithmetic,0,5.4,0,7
intel/pti-gpu,0,6.2,4,63
intel/pailliercryptolib,0,6.5,0,69
intel/oneAPI-Ultrasound-Beamforming-Library,0,6.1,3,24
intel/libvirt-tdx,0,6,1311,12759
intel/libipt,0,7.6,17,486
intel/ipmctl,0,6.4,2,11
intel/intel-qs,0,5.4,21,180
intel/intel-extension-for-pytorch,0,7.3,0,14
intel/igsc,0,7.6,25,92
intel/hexl-fpga,0,5.5,2,69
intel/gna,0,6.3,0,5
intel/crypto-api-toolkit,0,6.2,4,219
intel/compute-benchmarks,0,6.4,136,392
intel/cm-compiler,0,5,0,28
intel/aubstream,0,7,4,126
intel/SGXDataCenterAttestationPrimitives,0,8.2,18,336
intel/Intel-Vector-Data-Streaming-Library,0,5.7,5,130
intel/BDTK,0,7,0,9
