repo, scan-build-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
omnigres/omnigres,1905,1637,3.8,4806,38194,7511,65189
AdamYuan/SparseVoxelOctree,1668,566,3.9,393,3927,40451,193350
GStreamer/gstreamer,1466,0,3.4,15550,85364,478203,2214338
LibreDWG/libredwg,1352,-1,4.5,543,16760,15016,873527
openpbs/openpbs,1156,-1,6.3,877,4935,109853,214495
mitsuba-renderer/nanogui,1011,0,4.4,56,1075,6918,22151
raysan5/rfxgen,932,-1,5,76,774,3050,16971
LiangliangNan/PolyFit,924,315,4.1,11982,40554,239474,796752
DescentDevelopers/Descent3,910,83,4.5,1045,8188,361939,466503
BlitterStudio/amiberry,895,113,5,772,21331,86153,898778
performancecopilot/pcp,867,158,5.5,3045,17074,106075,1331903
rizinorg/rizin,853,126,7,2723,18040,82424,775169
SwagSoftware/Kisak-Strike,851,1518,2.9,4045,57517,958786,4412096
nmellado/Super4PCS,823,0,3.5,445,1638,27947,114790
plugdata-team/plugdata,785,355,5.3,1154,17338,35123,150361
ablab/spades,738,2304,4.3,1545,9107,575718,1112465
YannickJadoul/Parselmouth,713,-1,4.9,2212,13795,404565,1154558
pschatzmann/arduino-audio-tools,684,2649,5.6,3034,21552,12933,394844
JACoders/OpenJK,664,0,4.8,1762,12714,231894,928753
xroche/httrack,626,362,4.1,164,672,9541,47434
F-Stack/f-stack,576,476,5.2,2993,35147,1226972,4671091
terrychou/iVim,570,0,1.7,857,4511,87678,390541
bminor/bash,567,350,4.4,339,2087,25567,125350
DCMTK/dcmtk,561,0,5,1799,19655,272281,1019718
applidium/Vim,552,-1,1.1,803,4065,72193,342824
neoml-lib/neoml,545,541,6.6,870,13992,31714,177961
ApsaraDB/PolarDB-for-PostgreSQL,535,-1,5.4,3208,20098,517121,1238989
MythTV/mythtv,524,1574,4.6,2863,18057,347470,2087991
qicosmos/iguana,518,0,6.2,64,1021,3252,31116
hypre-space/hypre,507,-1,6,627,2561,103572,482126
jellyfin/jellyfin-ffmpeg,496,-1,7.1,2770,16323,170732,1227304
fltk/fltk,488,615,5.8,310,3643,84000,264310
IvorySQL/IvorySQL,458,-1,5.9,3826,16556,437123,1025516
RfidResearchGroup/proxmark3,457,-1,6.8,1134,9246,89255,326983
deweylab/RSEM,453,1100,4.1,485,2070,44219,289981
bitnine-oss/agensgraph,447,-1,4.5,3717,16464,398525,966070
BrunoLevy/geogram,441,0,4.8,982,6560,166043,431769
Farama-Foundation/ViZDoom,434,276,4.4,789,6819,81551,368426
tangrams/tangram-es,417,953,3.8,2544,13868,51172,201386
OpenDDS/OpenDDS,413,-1,6.1,1058,15521,35582,400875
dhewm/dhewm3,404,-1,4.2,922,9975,154208,513176
0vercl0k/rp,394,237,4.1,103,1716,24981,149304
