repo, scan-build-bugs, bai-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
AdamYuan/SparseVoxelOctree,1651,110,338,4.7,250,2672,39350,181362
xroche/httrack,1252,1559,362,6.4,317,1269,9540,47642
LibreDWG/libredwg,1221,-1,-1,4.6,711,1973,14574,343956
openpbs/openpbs,1158,-1,-1,7.6,878,4930,109655,214159
mitsuba-renderer/nanogui,1011,0,0,5.4,56,1075,6918,22150
LiangliangNan/PolyFit,916,-1,-1,4.7,11979,40554,239470,796732
performancecopilot/pcp,857,21,1944,6.2,2943,16709,104218,1052232
pschatzmann/arduino-audio-tools,745,0,3249,6.2,1586,13450,19318,447014
rizinorg/rizin,726,-1,126,7.1,2268,16060,73718,716112
YannickJadoul/Parselmouth,721,0,-1,4.4,2196,13653,403531,1142339
plugdata-team/plugdata,638,-1,6037,5.5,926,11883,49848,262352
JACoders/OpenJK,632,-1,-1,4.6,1618,11782,221983,857099
OpenEnroth/OpenEnroth,604,49,10,6.6,1271,14163,15181,137940
fltk/fltk,592,362,545,7.3,278,3150,77605,248801
hypre-space/hypre,577,-1,-1,8.2,619,2447,101329,471963
terrychou/iVim,570,487,0,4.4,857,4511,87678,390541
bminor/bash,567,-1,355,6.4,339,2087,25561,125326
applidium/Vim,555,355,3323,4.6,807,4074,72193,342824
F-Stack/f-stack,551,-1,441,6.5,2787,33539,1208067,4561158
DCMTK/dcmtk,523,-1,9,7.6,1793,19624,272608,1019902
eliaskosunen/scnlib,500,0,398,4.8,9,234,4151,24205
RfidResearchGroup/proxmark3,489,715,-1,6.7,1046,8588,85765,303985
bitnine-oss/agensgraph,461,-1,-1,4.8,3194,15814,379245,911605
IvorySQL/IvorySQL,455,-1,-1,6.5,3770,16397,432835,1016698
cnr-isti-vclab/meshlab,439,151,0,5.1,981,8703,75089,441382
BrunoLevy/geogram,437,51,0,5.5,951,6366,162391,413224
OSGeo/gdal,433,-1,0,7.1,2654,16341,336808,1308526
Farama-Foundation/ViZDoom,432,-1,266,5.4,789,6818,81544,368187
termux/termux-x11,429,-1,0,5.9,1256,8329,347,8638
tangrams/tangram-es,419,-1,15,4.8,2544,13868,51172,201386
dhewm/dhewm3,403,352,-1,6.2,777,8882,134930,441373
0vercl0k/rp,394,0,237,4.7,103,1716,24981,149286
unicode-org/icu,387,0,1595,8.3,810,7162,229246,945600
qicosmos/iguana,386,-1,30,6.8,46,729,3144,23843
vslavik/poedit,375,-1,779,5,500,4891,863771,3887920
etternagame/etterna,369,1495,-1,4.4,1858,17805,308923,1064434
sheredom/utest.h,368,-1,9,6,194,836,570,3895
gongminmin/KlayGE,361,-1,-1,5.7,2121,17116,15531,186555
veyon/veyon,346,769,0,5.7,333,1233,11657,45343
KhronosGroup/COLLADA2GLTF,334,-1,190,4.1,2754,15104,451,7894
falkTX/Carla,332,-1,-1,3.7,190,1778,209817,784228
alexbatalov/fallout1-ce,330,-1,294,5.5,285,2489,8310,105608
alexbatalov/fallout2-ce,329,-1,305,5.8,338,2756,10562,116136
klaussilveira/qengine,327,0,498,4.4,917,7504,75142,426378
USBhost/MX_FFmpeg,327,-1,1363,4.3,1315,7146,368156,1916109
dfranx/SHADERed,325,0,-1,4.5,992,7341,34865,183476
gammu/gammu,322,-1,0,7.4,247,2051,18625,111697
FreeFem/FreeFem-sources,319,-1,-1,6.4,598,3150,42048,277642
Skulltrail192/One-Core-Api,311,-1,186,4.8,287,1986,1049988,6627705
pierreguillot/Camomile,305,417,968,5.1,308,4304,4493,15556
mangoszero/server,295,-1,-1,4.6,1007,10309,41360,227325
acl-dev/acl,295,-1,676,6.2,524,9758,179201,507417
micmacIGN/micmac,293,1239,0,3.4,774,12285,218935,1476718
Stichting-MINIX-Research-Foundation/minix,289,1916,383,5.2,2702,20852,1679506,5601445
DynamoRIO/drmemory,287,-1,170,4.7,811,5441,28683,134462
freesurfer/freesurfer,286,5,-1,4.9,2206,10394,245091,1267408
casadi/casadi,285,11,329,5.3,388,4339,87235,185816
TASEmulators/fceux,276,153,0,5.5,231,3562,43474,251195
SWI-Prolog/swipl-devel,275,-1,-1,6.4,469,4182,22003,156776
OpenSmalltalk/opensmalltalk-vm,267,2712,594,4.9,353,4610,948684,4301742
DarkflameUniverse/DarkflameServer,265,0,526,8,407,5434,88628,234923
Hamlib/Hamlib,262,10852,-1,6.9,857,3821,49792,239748
LiangliangNan/Easy3D,260,0,0,5.6,560,4125,122641,482513
wheybags/freeablo,259,-1,3064,4.7,1334,9143,212090,975094
openbabel/openbabel,254,171,-1,6.1,853,3515,66049,306556
csound/csound,254,0,2,3.8,511,4210,42127,212659
SerenityOS/jakt,247,-1,0,6.2,432,2313,2891,146231
simbody/simbody,246,-1,-1,5.2,402,4220,118684,269106
audeering/opensmile,246,574,1685,5.5,442,3310,19017,101842
TheAssemblyArmada/Thyme,246,-1,499,7,599,4391,35278,272791
muhanzhang/SEAL,243,-1,487,3.6,308,897,11981,75251
skylicht-lab/skylicht-engine,241,-1,-1,5.3,668,6419,181662,606589
groonga/groonga,241,51,-1,5.4,1251,4263,18721,757300
coronalabs/corona,241,-1,-1,4.9,763,9035,340654,1045982
seemoo-lab/nexmon,236,-1,2000,5.4,3237,29777,1060255,5509333
bminor/binutils-gdb,236,-1,1074,7.3,367,3621,560914,3022752
trailofbits/cb-multios,235,-1,-1,5.6,2172,35525,420695,6908805
pachterlab/kallisto,235,1786,1496,5.3,327,1991,25199,120030
bluekitchen/btstack,233,-1,898,6.8,765,16999,639019,1313737
xapian/xapian,232,-1,1,5.8,1932,11143,42272,121283
vhelin/wla-dx,227,-1,0,6.5,167,481,3745,55791
ring-lang/ring,227,-1,2289,5.7,1080,6704,324129,2037114
jlblancoc/suitesparse-metis-for-windows,226,383,345,3.9,241,1270,125585,415587
dethrace-labs/dethrace,224,-1,463,6.2,396,5444,13703,201087
steveicarus/iverilog,222,-1,928,6.9,411,5094,37932,173781
Sneeds-Feed-and-Seed/sneedacity,218,-1,1114,5,644,4985,246869,888774
openvenues/libpostal,213,-1,-1,5.2,185,1184,6733,583226
cfengine/core,211,3539,798,7.2,243,2862,19565,126474
thalium/icebox,208,-1,595,3.4,1600,16470,1782023,5653522
OpenVisualCloud/SVT-HEVC,208,74,583,5.3,336,1211,18026,128202
surge-synthesizer/surge,205,0,-1,6.3,573,5718,106476,334450
lammps/lammps,202,634,37,7.9,697,3621,262939,1175051
adobe-type-tools/afdko,201,958,7,6.3,442,3782,22035,168886
containers/crun,200,0,594,7.7,271,1136,2594,25744
agraef/purr-data,200,11,1041,4.1,240,3217,128773,726522
Themaister/Granite,198,-1,-1,6.5,1760,15233,17344,125867
julius-speech/julius,197,339,339,5.7,156,1152,76584,175580
ipc-sim/IPC,196,0,4,5.1,397,3352,2436,27097
BespokeSynth/BespokeSynth,196,0,-1,7.1,204,3141,28653,177662
beefytech/Beef,191,61,179,5.6,279,1962,157760,701209
cyrusimap/cyrus-imapd,185,-1,-1,7.6,537,3511,54088,275616
vermaseren/form,183,115,518,5.3,601,1513,31199,126488
