repo, scan-build-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
omnigres/omnigres,1905,819,4.2,4806,38194,7629,65438
AdamYuan/SparseVoxelOctree,1668,565,3.9,393,3927,40451,193350
GStreamer/gstreamer,1417,-1,3.4,15303,82867,475909,2201112
LibreDWG/libredwg,1352,-1,5.7,542,16748,14985,873266
pschatzmann/arduino-audio-tools,1230,6707,5.6,3034,21552,12846,393918
openpbs/openpbs,1154,-1,6.3,877,4932,109790,214364
mitsuba-renderer/nanogui,1011,0,4.4,56,1075,6918,22151
LiangliangNan/PolyFit,922,315,4.9,11982,40554,239474,796752
BlitterStudio/amiberry,875,92,4.8,731,20821,83183,886130
performancecopilot/pcp,864,158,5.5,3033,17057,105987,1330673
SwagSoftware/Kisak-Strike,851,1528,2.9,4034,57458,958786,4412096
rizinorg/rizin,850,126,7,2687,17796,82450,775412
nmellado/Super4PCS,823,0,3.5,445,1638,27947,114790
praat/praat,753,-1,3.9,3192,14358,408685,2112376
plugdata-team/plugdata,750,0,5.4,1112,13653,39485,186536
polyfem/polyfem,742,-1,6.1,4233,14271,9936,84183
ablab/spades,738,2304,4.2,1545,9106,575718,1112433
JACoders/OpenJK,663,0,5,1762,12712,231894,928748
xroche/httrack,626,362,4.1,164,672,9541,47434
F-Stack/f-stack,576,476,4.7,2993,35147,1226972,4671085
DCMTK/dcmtk,572,53,5,1839,20042,272259,1019746
terrychou/iVim,570,0,1.7,857,4511,87678,390541
bminor/bash,567,357,4.4,339,2087,25567,125350
neoml-lib/neoml,563,365,6.6,870,13988,31580,176540
applidium/Vim,555,0,1.1,807,4074,72193,342824
ApsaraDB/PolarDB-for-PostgreSQL,534,-1,5.6,3208,20102,517121,1238991
MythTV/mythtv,524,1575,4.8,2863,18057,347467,2087856
hypre-space/hypre,507,-1,6.9,626,2524,103496,481772
fltk/fltk,487,613,5.8,310,3635,83815,264185
IvorySQL/IvorySQL,462,-1,5.9,3775,16494,430469,1008052
bitnine-oss/agensgraph,461,-1,3.8,3194,15814,379245,911605
RfidResearchGroup/proxmark3,461,1004,6.2,1136,9228,89359,326660
qicosmos/iguana,451,33,6.2,59,877,3174,26920
BrunoLevy/geogram,440,0,4.9,976,6492,165867,431429
Farama-Foundation/ViZDoom,434,276,4.7,789,6819,81551,368426
tangrams/tangram-es,417,27,3.8,2544,13868,51172,201386
dhewm/dhewm3,396,-1,4.5,778,8895,135139,442248
0vercl0k/rp,394,237,4.1,103,1716,24981,149304
etternagame/etterna,369,449,4.2,1858,17805,308923,1064434
jupyter-xeus/cpp-terminal,353,152,5.6,29,330,1169,7212
unicode-org/icu,350,1624,8.7,814,7437,232147,953704
bluekitchen/btstack,347,1182,4,1601,31902,640840,1319691
veyon/veyon,338,0,5.4,333,1233,11661,45700
falkTX/Carla,335,-1,3.2,195,1849,100003,407993
alexbatalov/fallout1-ce,334,293,5.2,285,2488,8321,105677
KhronosGroup/COLLADA2GLTF,332,190,3.6,2754,15104,451,7894
alexbatalov/fallout2-ce,331,319,5.3,340,2796,10877,120235
klaussilveira/qengine,327,493,3.9,917,7504,75142,426378
USBhost/MX_FFmpeg,327,1363,1.6,1315,7146,368156,1916109
gammu/gammu,322,0,5.9,247,2051,18624,111693
FreeFem/FreeFem-sources,319,-1,3.7,598,3159,42114,278388
Skulltrail192/One-Core-Api-Source,311,186,3.1,287,1986,1054547,6696782
skylicht-lab/skylicht-engine,305,-1,4.4,868,8443,207867,816329
pierreguillot/Camomile,305,968,4.4,308,4304,4493,15556
adaptech-cz/Tesseract4Android,295,893,3.5,1598,8569,171861,445888
acl-dev/acl,295,840,4.4,526,9802,179615,510586
DynamoRIO/drmemory,294,-1,4,923,6048,28685,134537
pguyot/Einstein,293,0,3.8,492,4966,47822,108926
mangoszero/server,291,-1,3.2,849,9495,41361,227353
Stichting-MINIX-Research-Foundation/minix,288,383,2.4,2702,20852,1679506,5601445
freesurfer/freesurfer,286,1038,2.2,2222,10441,246561,1276416
micmacIGN/micmac,284,0,2.9,775,12374,247001,1635998
casadi/casadi,284,-1,5,389,4373,89574,191590
TheAssemblyArmada/Thyme,276,226,6.5,836,6185,38006,313230
termux/termux-x11,271,0,4.8,929,5981,342,4997
OpenSmalltalk/opensmalltalk-vm,267,582,4.6,353,4610,949246,4303715
LiangliangNan/Easy3D,266,5,5,570,4270,123686,498958
Themaister/Granite,264,-1,5.8,2480,20015,17694,132093
wheybags/freeablo,260,3064,2.3,1334,9143,212090,975094
openbabel/openbabel,255,96,5.3,853,3512,66068,306793
csound/csound,254,2,3.8,511,4210,42127,212659
d99kris/nchat,250,205,5.5,1877,31223,108597,514161
simbody/simbody,246,-1,5.5,404,4227,119008,269594
audeering/opensmile,246,1685,3.1,442,3310,19017,101851
muhanzhang/SEAL,243,487,0.2,308,897,11981,75251
STJr/SRB2,242,266,3,814,6137,96611,434306
bminor/binutils-gdb,240,582,5.8,461,4678,565783,3174644
nature-lang/nature,239,92,3.5,160,1330,6849,36584
coronalabs/corona,239,364,3.9,763,9060,340776,1046579
ring-lang/ring,238,2335,3.7,1097,6794,350952,2282449
groonga/groonga,238,-1,6.5,1301,4562,13435,619099
seemoo-lab/nexmon,237,2003,4.4,3293,29812,1065394,5566297
trailofbits/cb-multios,235,-1,5,2172,35525,420695,6908805
TASEmulators/fceux,234,0,3.6,236,3662,44245,259904
pachterlab/kallisto,233,1502,5.1,328,1991,25210,120384
xapian/xapian,231,1,5.2,1944,11181,42754,122745
rockchip-linux/rknn-toolkit2,231,88,2.6,29,282,44389,89357
Blosc/c-blosc2,231,857,-1,392,1791,36478,117052
vhelin/wla-dx,228,0,5.5,173,495,3874,60302
steveicarus/iverilog,228,947,5.9,414,5137,38845,176598
dethrace-labs/dethrace,226,3,4.7,396,5445,13704,201368
Hamlib/Hamlib,225,-1,6.4,865,3938,50737,259398
DarkflameUniverse/DarkflameServer,221,424,6.9,436,5626,88464,240426
iree-org/iree,219,1,5.4,5578,85051,78902,326418
adobe-type-tools/afdko,216,7,5.3,442,3782,22035,168896
skylersaleh/SkyEmu,215,1679,5,2209,17913,201554,1658216
openvenues/libpostal,213,-1,3.4,185,1184,6733,583235
containers/crun,212,629,7.7,278,1181,2957,28044
cfengine/core,212,-1,7.3,242,2873,20279,129323
airockchip/rknn_model_zoo,212,497,3.4,330,1884,44612,128927
OpenVisualCloud/SVT-HEVC,208,583,4.3,336,1211,18026,128202
thalium/icebox,206,595,2.9,1600,16464,1782023,5653522
surge-synthesizer/surge,204,13,5.3,601,5905,108821,350969
julius-speech/julius,200,339,3.7,157,1155,76584,175580
BespokeSynth/BespokeSynth,195,891,6.2,217,3245,29129,181572
LLNL/RAJA,194,479,6.4,21,262,31401,93917
agraef/purr-data,193,1024,3.6,229,2776,128795,726583
beefytech/Beef,191,205,3.6,279,1965,157815,702985
lammps/lammps,190,445,7,671,3655,247162,1223250
flomesh-io/pipy,188,1002,4.6,734,8508,285309,1171297
Stephane-D/SGDK,184,1,5.3,26,676,20644,75518
vermaseren/form,183,517,5.2,601,1513,31219,126552
TorqueGameEngines/Torque3D,180,1237,4.9,1252,9050,656800,2522137
bjornbytes/lovr,179,0,5,596,6039,13606,129647
k2-fsa/sherpa-onnx,177,0,4.5,209,1365,4951,34111
keith2018/SoftGLRender,176,612,3.4,773,6379,156601,752696
samtools/htslib,175,1080,6.7,340,1656,17924,66376
google-deepmind/mujoco_mpc,173,7,6.9,600,4216,8533,22710
ptitSeb/box64,172,0,4.7,1689,29211,39230,223219
pmq20/ruby-packer,172,402,3.4,273,1744,182644,1447379
RasPlex/OpenPHT,172,829,1.9,296,2142,522916,2510453
Ettercap/ettercap,172,0,6.4,195,1157,19548,58324
