repo, bugs, ossf score, complex functions, total functions
xroche/httrack,1252,5.3,317,1269
mitsuba-renderer/nanogui,1011,4.3,55,1061
systemd/systemd,1008,5.3,3290,9698
fontforge/fontforge,807,4.3,866,4687
baldurk/renderdoc,726,5.3,1180,10006
fltk/fltk,567,5.3,274,2986
RfidResearchGroup/proxmark3,503,4.3,1030,8538
isl-org/Open3D,446,5.3,59,744
OSGeo/gdal,414,5.3,2142,13717
0vercl0k/rp,390,4.3,103,1716
vslavik/poedit,372,5.3,497,4765
USBhost/MX_FFmpeg,327,4.3,1304,7061
openwall/john,323,5.3,394,4007
ellson/MOTHBALLED-graphviz,323,4.3,519,3320
JACoders/OpenJK,308,5.3,877,6119
rizinorg/rizin,297,5.3,968,7377
DynamoRIO/drmemory,287,5.3,811,5441
casadi/casadi,262,5.3,345,3825
hanwckf/rt-n56u,261,4.3,1121,7636
csound/csound,254,4.3,511,4210
raysan5/raylib,253,4.3,157,1537
taosdata/TDengine,245,5.3,1337,9269
OpenDDS/OpenDDS,242,5.3,164,2852
ring-lang/ring,238,5.3,1097,6784
radareorg/radare2,229,4.3,853,5530
HarbourMasters/Shipwright,219,5.3,148,1434
coturn/coturn,217,5.3,217,1041
bluekitchen/btstack,212,5.3,610,13788
wheybags/freeablo,208,5.3,1184,8003
cnr-isti-vclab/meshlab,203,5.3,344,3213
steveicarus/iverilog,201,5.3,388,4794
beefytech/Beef,191,5.3,277,1962
containers/crun,187,4.3,246,1066
Stichting-MINIX-Research-Foundation/minix,187,4.3,713,5428
PX4/PX4-Autopilot,184,5.3,2,381
pmq20/ruby-packer,172,4.5,276,1759
sleuthkit/sleuthkit,170,5.3,467,2116
mit-biomimetics/Cheetah-Software,169,4.3,2,380
kbengine/kbengine,165,5.3,1866,10232
unicode-org/icu,161,5.3,496,4340
WolfireGames/overgrowth,161,5.3,779,4065
openMVG/openMVG,160,5.3,615,3499
sheredom/utf8.h,157,5.3,44,314
coronalabs/corona,156,5.3,432,4438
jpd002/Play-,155,5.3,1053,12187
yasm/yasm,154,4.3,133,1117
bjornbytes/lovr,154,4.9,538,5674
Ettercap/ettercap,154,4.3,195,1157
kangjianwei/Data-Structure,150,5.3,76,2347
eclipse-iceoryx/iceoryx,147,5.3,3,551
adishavit/argh,146,5.3,25,35
nmwsharp/polyscope,144,4.3,458,4930
acl-dev/acl,143,5.3,261,4871
TTimo/doom3.gpl,141,5.3,118,526
erich666/GraphicsGems,140,5.3,124,1103
julius-speech/julius,139,4.9,98,825
Kitware/CMake,138,5.3,659,6273
ptitSeb/box64,137,4.3,339,5560
qcad/qcad,136,5.3,1261,9480
numberwolf/h265web.js,135,5.3,830,5071
hoffstadt/DearPyGui,131,5.3,1228,10459
espeak-ng/espeak-ng,131,5.3,104,501
dhewm/dhewm3,131,5.3,238,2388
