repo, scan-build-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
omnigres/omnigres,2042,1295,4,5303,42220,7667,65515
AdamYuan/SparseVoxelOctree,1668,565,4.1,393,3927,40451,193350
GStreamer/gstreamer,1397,-1,3.4,15239,82264,472275,2184672
LibreDWG/libredwg,1352,-1,4.7,539,16781,14821,866796
openpbs/openpbs,1154,-1,6,875,4929,109679,214030
mitsuba-renderer/nanogui,1011,0,4.4,56,1075,6918,22150
LiangliangNan/PolyFit,922,315,4.4,11982,40554,239474,796752
BlitterStudio/amiberry,887,92,5,732,20757,83182,884002
performancecopilot/pcp,852,156,5.6,3000,16979,105567,1328803
SwagSoftware/Kisak-Strike,851,1518,2.9,4034,57458,958786,4412096
nmellado/Super4PCS,823,0,3.5,445,1638,27947,114790
rizinorg/rizin,774,126,6.9,2726,17904,67492,713274
plugdata-team/plugdata,750,993,5.6,1112,13653,39485,186536
polyfem/polyfem,742,-1,6.1,4220,14010,9749,81410
pschatzmann/arduino-audio-tools,722,2537,5.5,3045,21713,31933,527346
JACoders/OpenJK,663,0,5,1760,12690,231790,928265
xroche/httrack,626,362,5.1,164,672,9541,47434
bluekitchen/btstack,592,1421,4,1659,33564,640478,1318257
F-Stack/f-stack,576,476,3.6,2993,35147,1226972,4671069
terrychou/iVim,570,0,1.6,857,4511,87678,390541
bminor/bash,567,354,5.1,339,2087,25567,125350
applidium/Vim,552,-1,1.1,803,4065,72193,342824
neoml-lib/neoml,546,365,6.3,869,13991,31614,176947
ApsaraDB/PolarDB-for-PostgreSQL,534,-1,5.2,3208,20104,517694,1243184
hypre-space/hypre,507,-1,7.4,627,2524,103496,481767
fltk/fltk,479,637,6.2,309,3604,83212,261622
IvorySQL/IvorySQL,462,-1,5.4,3775,16494,430469,1008052
bitnine-oss/agensgraph,461,-1,3.8,3194,15814,379245,911605
RfidResearchGroup/proxmark3,451,-1,6.7,1122,9064,87465,319160
BrunoLevy/geogram,440,0,5,973,6478,165358,421526
qicosmos/iguana,437,33,6.5,57,835,3198,26109
Farama-Foundation/ViZDoom,434,0,5.1,789,6819,81551,368426
tangrams/tangram-es,417,27,4.1,2544,13868,51172,201386
dhewm/dhewm3,401,-1,4.7,778,8895,135120,442215
0vercl0k/rp,394,237,4.1,103,1716,24981,149304
vslavik/poedit,375,789,4.5,500,4891,863425,3890056
etternagame/etterna,369,-1,4.1,1858,17805,308923,1064434
jupyter-xeus/cpp-terminal,353,152,5.7,29,329,1169,7212
unicode-org/icu,350,1607,8.6,809,7237,230423,950475
gphoto/libgphoto2,348,849,7,246,1766,32240,139192
veyon/veyon,338,0,5.4,333,1233,11660,45689
alexbatalov/fallout1-ce,334,294,4.1,285,2488,8321,105664
KhronosGroup/COLLADA2GLTF,332,190,3.6,2754,15104,451,7894
falkTX/Carla,331,-1,3.4,195,1847,209796,785301
alexbatalov/fallout2-ce,330,319,5.3,340,2796,10872,120205
klaussilveira/qengine,327,493,3.9,917,7504,75142,426378
USBhost/MX_FFmpeg,327,1363,1.6,1315,7146,368156,1916109
ellson/MOTHBALLED-graphviz,323,-1,2.9,519,3320,33441,1062670
gammu/gammu,322,0,6,247,2051,18624,111693
