repo, scan-build-bugs, bai-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
AdamYuan/SparseVoxelOctree,1649,111,338,4.6,250,2672,39350,181362
LibreDWG/libredwg,1348,-1,-1,4.8,518,16712,14686,864558
GStreamer/gstreamer,1302,0,-1,5.4,14592,77165,461518,2115189
xroche/httrack,1252,1484,362,6.4,317,1269,9540,47642
openpbs/openpbs,1159,-1,-1,7.3,877,4933,109673,214245
mitsuba-renderer/nanogui,1011,0,0,5.4,56,1075,6918,22150
LiangliangNan/PolyFit,880,-1,-1,4.6,11982,40554,239470,796732
performancecopilot/pcp,857,22,1943,5.7,2958,16869,104529,1055037
rizinorg/rizin,741,-1,126,7,2540,17162,73576,724892
YannickJadoul/Parselmouth,713,0,-1,5.7,2212,13795,404565,1154557
JACoders/OpenJK,632,-1,-1,3.7,1618,11782,221983,857099
OpenEnroth/OpenEnroth,596,51,10,6.6,1062,12405,15423,134553
hypre-space/hypre,579,-1,-1,8.1,622,2467,101892,474759
terrychou/iVim,570,487,0,4.4,857,4511,87678,390541
bminor/bash,567,641,354,6.4,339,2087,25561,125326
applidium/Vim,552,355,3334,4.6,803,4065,72193,342824
F-Stack/f-stack,549,-1,441,6.5,2792,33596,1214063,4700298
ApsaraDB/PolarDB-for-PostgreSQL,534,-1,-1,6.4,3208,20103,515600,1230608
DCMTK/dcmtk,524,-1,1,7.6,1802,19679,272627,1020064
eliaskosunen/scnlib,495,0,398,4.4,9,235,4151,24205
neoml-lib/neoml,494,0,465,7,695,11026,31226,174825
RfidResearchGroup/proxmark3,481,468,-1,6.7,1068,8762,86317,307915
fltk/fltk,469,173,602,7.6,284,3215,78781,249703
IvorySQL/IvorySQL,465,-1,-1,6.4,3772,16419,430063,1006483
bitnine-oss/agensgraph,461,-1,-1,4.8,3194,15814,379245,911605
cnr-isti-vclab/meshlab,439,167,0,5.1,980,8703,75089,441382
BrunoLevy/geogram,438,51,0,5.5,954,6378,162672,413818
qicosmos/iguana,435,-1,749,6.9,56,827,3191,25858
tangrams/tangram-es,417,-1,953,4.4,2544,13868,51172,201386
dhewm/dhewm3,403,352,-1,5.8,777,8882,134930,441373
0vercl0k/rp,394,0,237,4.6,103,1716,24981,149286
pschatzmann/arduino-audio-tools,388,0,4,6.2,1691,14427,19669,449198
unicode-org/icu,380,-1,1623,8.5,809,7216,230458,950023
vslavik/poedit,375,-1,789,5.1,500,4891,863783,3888195
gongminmin/KlayGE,361,-1,-1,6.2,2121,17123,15532,186723
veyon/veyon,346,774,0,5.7,333,1233,11657,45374
KhronosGroup/COLLADA2GLTF,332,-1,-1,4.1,2754,15104,451,7894
falkTX/Carla,331,689,-1,3.7,194,1844,209837,785049
alexbatalov/fallout2-ce,330,-1,320,5.4,340,2795,10857,120187
alexbatalov/fallout1-ce,330,-1,294,4.8,285,2489,8310,105608
klaussilveira/qengine,327,0,487,4.4,917,7504,75142,426378
USBhost/MX_FFmpeg,327,-1,1363,4.3,1315,7146,368156,1916109
gammu/gammu,322,14,0,7.1,247,2051,18625,111697
FreeFem/FreeFem-sources,319,-1,-1,5.9,598,3150,42048,277642
dfranx/SHADERed,312,0,-1,4.4,992,7305,34865,183476
Skulltrail192/One-Core-Api,311,-1,186,5.9,287,1986,1052086,6630176
pierreguillot/Camomile,305,405,968,4.5,308,4304,4493,15556
mangoszero/server,295,-1,-1,4.3,1007,10309,41360,227325
acl-dev/acl,295,-1,674,6.4,524,9768,179272,508044
Stichting-MINIX-Research-Foundation/minix,288,1840,383,5.2,2702,20852,1679506,5601445
micmacIGN/micmac,287,550,22,3.2,774,12298,243796,1618304
DynamoRIO/drmemory,287,-1,170,4.5,811,5441,28683,134462
freesurfer/freesurfer,286,5,45,4.7,2206,10394,245262,1268275
casadi/casadi,284,37,329,5.7,388,4347,87790,187508
TASEmulators/fceux,276,153,0,5.2,231,3562,43474,251204
termux/termux-x11,270,-1,0,5.3,927,5945,265,4047
OpenSmalltalk/opensmalltalk-vm,267,2684,582,4.3,353,4610,948739,4301753
wheybags/freeablo,260,-1,3054,4.7,1323,9084,212090,975094
LiangliangNan/Easy3D,260,0,0,5.2,560,4125,122641,482513
Hamlib/Hamlib,259,9941,-1,6.9,878,3897,50259,248974
openbabel/openbabel,254,171,95,6.5,853,3515,66050,306559
csound/csound,254,887,2,4.1,511,4210,42127,212659
DarkflameUniverse/DarkflameServer,253,0,521,8.1,406,5449,88551,236706
TheAssemblyArmada/Thyme,248,-1,226,6.8,684,5355,35943,277432
simbody/simbody,246,-1,-1,5.7,402,4220,118723,269198
audeering/opensmile,246,594,1686,5.5,442,3310,19017,101842
muhanzhang/SEAL,242,-1,487,3.6,308,897,11981,75251
groonga/groonga,241,51,-1,6.3,1252,4264,12758,609569
coronalabs/corona,239,-1,364,4.8,763,9035,340663,1046088
skylicht-lab/skylicht-engine,237,-1,-1,5.3,669,6433,181795,607180
seemoo-lab/nexmon,237,-1,2003,6.1,3293,29812,1060708,5531606
bminor/binutils-gdb,237,-1,2003,7.3,366,3625,562312,3165010
trailofbits/cb-multios,235,-1,-1,5.6,2172,35525,420695,6908805
pachterlab/kallisto,234,745,1496,5.1,327,1991,25199,120030
bluekitchen/btstack,233,-1,73,6.8,765,17005,639020,1313752
xapian/xapian,232,-1,1,5.8,1931,11135,42586,122588
vhelin/wla-dx,226,-1,0,6.5,170,488,3800,59911
jlblancoc/suitesparse-metis-for-windows,226,469,345,3.9,241,1270,125585,415587
dethrace-labs/dethrace,226,-1,450,6.3,396,5445,13703,201366
steveicarus/iverilog,224,-1,935,6.3,412,5103,38079,174560
bytecodealliance/wasm-micro-runtime,215,-1,-1,6.5,2665,16210,22023,157454
openvenues/libpostal,213,-1,-1,5.2,185,1184,6733,583235
ring-lang/ring,211,-1,2241,5.7,1050,6486,336554,2076778
cfengine/core,211,3624,797,7.2,243,2864,20079,127996
OpenVisualCloud/SVT-HEVC,208,41,583,4.9,336,1211,18026,128202
openldap/openldap,207,2684,1204,7.6,796,2638,49579,334883
agraef/purr-data,207,321,1057,5.1,257,3190,128795,726583
thalium/icebox,206,-1,595,3.4,1600,16464,1782023,5653522
rose-compiler/rose,206,2724,360,6.4,161,1694,534232,3762694
surge-synthesizer/surge,204,-1,12,6.2,582,5753,108016,343104
containers/crun,201,0,598,7.6,272,1137,2600,25869
adobe-type-tools/afdko,201,955,7,6.1,442,3782,22035,168886
Themaister/Granite,198,-1,-1,6.5,1766,15245,17345,126240
ipc-sim/IPC,196,0,4,5.1,397,3356,2436,27097
BespokeSynth/BespokeSynth,195,0,881,6.8,206,3149,28659,178096
lammps/lammps,193,312,426,7.9,698,3624,241730,1189254
beefytech/Beef,191,61,29,5.6,279,1962,157761,701432
vermaseren/form,183,135,515,5,601,1513,31200,126488
eclipse-iceoryx/iceoryx,182,84,29,6.9,3,576,34373,120078
ablab/spades,181,239,1221,4.2,557,3284,230221,1051411
keith2018/SoftGLRender,179,396,442,4,779,6415,156601,752682
bjornbytes/lovr,178,0,0,5.9,538,5674,13548,121320
google-deepmind/mujoco_mpc,174,-1,-1,7.6,573,4004,7607,19784
adventuregamestudio/ags,174,2506,222,5.2,581,7747,99560,327770
pmq20/ruby-packer,172,-1,402,3.9,276,1759,182644,1447379
RasPlex/OpenPHT,172,-1,829,4.4,296,2144,523499,2509870
Ettercap/ettercap,172,72,0,7.2,195,1157,19548,58324
