repo, bugs, ossf score, complex functions, total functions
GStreamer/gstreamer,1262,5.4,13771,71425
xroche/httrack,1252,7.6,317,1269
fontforge/fontforge,1168,6.4,1718,8506
systemd/systemd,1162,9.1,5591,16021
oneapi-src/oneTBB,1067,6.8,289,1853
mitsuba-renderer/nanogui,1011,5.4,56,1075
baldurk/renderdoc,963,5.4,1181,10018
jpd002/Play-,910,5.9,4063,48050
performancecopilot/pcp,846,6.2,2894,16587
radareorg/radare2,767,6.4,1894,15896
YannickJadoul/Parselmouth,721,5.5,2196,13653
IntelRealSense/librealsense,715,6.7,454,5813
rizinorg/rizin,711,7,2244,15596
JACoders/OpenJK,634,4.7,1618,11780
fltk/fltk,586,7.3,276,3131
fluent/fluent-bit,580,6.2,2533,23119
F-Stack/f-stack,551,6.7,2787,33539
RfidResearchGroup/proxmark3,483,6.8,1036,8546
taosdata/TDengine,477,7.5,1467,9619
numberwolf/h265web.js,474,5.5,2421,14399
BrunoLevy/geogram,463,5.3,1004,6682
bitnine-oss/agensgraph,461,5.2,3194,15814
isl-org/Open3D,446,5.7,59,744
cnr-isti-vclab/meshlab,439,5.2,981,8703
OSGeo/gdal,433,7.1,2623,16103
Farama-Foundation/ViZDoom,423,5.6,786,6809
plugdata-team/plugdata,421,5.4,526,6524
google/sandboxed-api,421,8.2,2227,29526
hanwckf/rt-n56u,412,3.1,1438,9569
dhewm/dhewm3,397,6.2,777,8881
0vercl0k/rp,394,4.8,103,1716
InsightSoftwareConsortium/ITK,388,7.6,2913,17849
unicode-org/icu,387,6.2,809,7161
Vita3K/Vita3K,387,6.7,805,10031
HarbourMasters/Shipwright,382,6.7,2485,26728
OpenDDS/OpenDDS,380,5.8,972,13418
vslavik/poedit,375,4.8,500,4891
gongminmin/KlayGE,361,5.8,2121,17116
ZLMediaKit/ZLMediaKit,356,6.3,220,5749
gphoto/libgphoto2,340,7.5,241,1729
klaussilveira/qengine,327,4.4,917,7504
USBhost/MX_FFmpeg,327,4.3,1315,7146
dfranx/SHADERed,325,4.6,992,7341
openwall/john,324,8,395,4020
ellson/MOTHBALLED-graphviz,323,5.1,519,3320
SerenityOS/jakt,305,6.8,436,2312
SerenityOS/serenity,290,7.7,1398,13244
Stichting-MINIX-Research-Foundation/minix,289,5.2,2702,20852
DynamoRIO/drmemory,287,4.7,811,5441
casadi/casadi,277,5.6,354,3885
TASEmulators/fceux,276,5.5,232,3513
rui314/mold,262,4.7,635,4428
google/filament,260,5.5,2338,16792
wheybags/freeablo,259,4.9,1334,9143
LiangliangNan/Easy3D,259,5.6,550,4088
csound/csound,254,4.1,511,4210
seemoo-lab/nexmon,252,5.5,3269,29889
raysan5/raylib,250,5.8,157,1541
simbody/simbody,246,5.1,402,4218
coronalabs/corona,241,4.9,762,9009
ring-lang/ring,238,5.7,1097,6784
NREL/EnergyPlus,230,5.6,1893,11698
libigl/libigl,227,6.4,495,4569
steveicarus/iverilog,222,6.8,401,5075
Kitware/VTK,222,7.6,7195,46028
surge-synthesizer/surge,218,6.3,480,5214
coturn/coturn,217,7.1,217,1041
hrydgard/ppsspp,215,5.1,1685,13632
godotengine/godot,215,7.2,2892,29703
opencv/opencv,214,7,2270,18090
openvenues/libpostal,213,6,185,1184
supercollider/supercollider,212,7.1,256,4602
bluekitchen/btstack,212,6.8,610,13788
openMVG/openMVG,205,6,751,4111
lammps/lammps,200,7.9,684,3552
adobe-type-tools/afdko,200,6.5,442,3776
php/php-src,199,7.3,2337,7703
Themaister/Granite,196,6.5,1752,15211
Sneeds-Feed-and-Seed/sneedacity,193,4.9,623,4724
ETLCPP/etl,193,6.3,6154,23584
davisking/dlib,192,5.6,763,6507
apple/turicreate,192,4.6,1769,20212
beefytech/Beef,191,5.6,279,1966
containers/crun,188,7.7,248,1071
git/git,186,5.4,1273,15922
KhronosGroup/Vulkan-Samples,185,7.4,1412,11347
PX4/PX4-Autopilot,184,4.6,2,381
BespokeSynth/BespokeSynth,179,7.2,190,3100
bjornbytes/lovr,178,5.9,538,5674
pmq20/ruby-packer,172,4,276,1759
Ettercap/ettercap,172,7.4,195,1157
mit-biomimetics/Cheetah-Software,169,6,2,380
SchedMD/slurm,169,7.6,1828,8656
aseprite/aseprite,167,5.3,1122,11004
kbengine/kbengine,165,5,1866,10232
wiredtiger/wiredtiger,164,7.6,1375,3636
bytecodealliance/wasm-micro-runtime,164,6.3,560,6393
WolfireGames/overgrowth,161,5.2,779,4065
google/tensorstore,160,8.4,2514,27800
BoomingTech/Piccolo,158,4.2,547,8248
sheredom/utf8.h,157,5.8,44,314
yasm/yasm,154,4.7,133,1117
WerWolv/ImHex,153,5.5,1145,10640
Kitware/ParaView,151,7.6,7209,51968
kangjianwei/Data-Structure,150,5.9,76,2347
catsout/wallpaper-engine-kde-plugin,150,6.3,518,3484
eclipse-iceoryx/iceoryx,148,6.9,3,551
yrnkrn/zapcc,147,3.7,4415,43165
adishavit/argh,146,6.8,25,35
nesbox/TIC-80,145,6.2,1188,10470
microsoft/msix-packaging,145,7,1092,9807
ponylang/ponyc,144,7,3851,44585
nmwsharp/polyscope,144,6.4,458,4990
toggl-open-source/toggldesktop,143,3.7,677,8587
eclipse/omr,143,6.2,394,3073
acl-dev/acl,143,6.4,261,4871
ravynsoft/ravynos,142,5.1,1226,8530
cuberite/cuberite,142,6.9,956,9774
hoffstadt/DearPyGui,141,5.9,1118,10156
TTimo/doom3.gpl,141,5.2,118,526
erich666/GraphicsGems,140,6.3,124,1103
julius-speech/julius,139,5.7,98,825
tesseract-ocr/tesseract,138,6.3,292,2530
qcad/qcad,136,7.3,1261,9480
Kitware/CMake,134,7,10368,91575
squid-cache/squid,133,7.1,660,5310
GoSSIP-SJTU/Armariris,133,5.1,3926,37118
generalized-intelligence/GAAS,132,3.4,213,1813
lxc/lxc,131,8.8,442,2251
espeak-ng/espeak-ng,131,5.7,104,501
tdlib/td,130,6.2,1203,18592
NVIDIA/Q2RTX,129,6.1,735,7036
turanszkij/WickedEngine,128,5.2,553,5559
postgres/postgres,128,7.6,3391,16419
leo-arch/clifm,126,5.6,159,1032
coin-or/Ipopt,126,7,88,791
ptitSeb/box64,125,5.9,343,5633
nfs-ganesha/nfs-ganesha,125,7,802,2895
MaJerle/stm32-usart-uart-dma-rx-tx,124,5.2,225,1820
emscripten-core/emscripten,121,8.2,123,1243
OpenXRay/xray-16,119,4.2,939,16617
DanBloomberg/leptonica,115,5.7,965,3948
sonic-pi-net/sonic-pi,114,3.2,532,6835
ptitSeb/box86,114,5.3,318,4533
mfem/mfem,114,7.5,739,3851
freebsd/freebsd-src,114,5,1182,8026
pure-data/pure-data,113,7.8,203,2178
organicmaps/organicmaps,112,4.7,285,2593
tunabrain/tungsten,111,5.5,135,1999
duckdb/duckdb,111,5.7,468,4155
Qihoo360/QConf,111,4.8,671,4137
FreeCAD/FreeCAD,110,5.8,1415,19563
versatica/mediasoup,108,5.1,1240,11523
gcc-mirror/gcc,107,6.9,170,1291
TASEmulators/desmume,107,4.6,663,6068
joncampbell123/dosbox-x,106,6,579,4170
microsoft/onnxruntime,105,5.9,776,9171
mgerhardy/vengi,105,5.5,1186,8134
openvswitch/ovs,104,6.4,611,8856
open5gs/open5gs,104,5.3,2383,14652
mltframework/mlt,104,5.6,185,1629
sleuthkit/sleuthkit,102,8,395,2435
