repo, scan-build-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
AdamYuan/SparseVoxelOctree,1668,566,4.2,393,3927,40451,193350
GStreamer/gstreamer,1399,-1,3.4,15065,81494,471710,2183960
LibreDWG/libredwg,1353,-1,5.4,534,16746,14815,866260
mitsuba-renderer/nanogui,1011,0,4.4,56,1075,6918,22150
BlitterStudio/amiberry,887,92,5.2,732,20787,81668,869785
LiangliangNan/PolyFit,880,315,3.9,11982,40554,239471,796730
performancecopilot/pcp,852,156,5.5,2996,16967,105143,1059534
SwagSoftware/Kisak-Strike,851,1528,2.9,4034,57458,958786,4412096
nmellado/Super4PCS,823,0,3.5,445,1638,27947,114790
praat/praat,759,-1,3.9,3188,14331,405961,1505433
plugdata-team/plugdata,750,993,5.6,1112,13653,39485,186536
pschatzmann/arduino-audio-tools,733,2494,5.4,3049,21719,30512,523716
YannickJadoul/Parselmouth,713,-1,5.2,2212,13795,404565,1154558
JACoders/OpenJK,663,0,4.8,1753,12676,231763,927725
xroche/httrack,626,-1,5.8,164,672,9541,47434
F-Stack/f-stack,576,476,3.6,2993,35147,1226972,4671069
terrychou/iVim,570,0,1.6,857,4511,87678,390541
bminor/bash,567,354,6.2,339,2087,25567,125350
applidium/Vim,555,0,1.1,807,4074,72193,342824
neoml-lib/neoml,550,365,6.5,869,13991,31594,176757
hypre-space/hypre,507,-1,7.4,627,2524,103468,481662
IvorySQL/IvorySQL,462,-1,5.9,3775,16494,430469,1008052
bitnine-oss/agensgraph,461,-1,3.8,3194,15814,379245,911605
RfidResearchGroup/proxmark3,447,-1,6.1,1120,9010,87344,317885
BrunoLevy/geogram,442,0,5,973,6478,165561,421869
qicosmos/iguana,437,33,6.5,57,835,3198,26109
Farama-Foundation/ViZDoom,434,276,5.2,789,6819,81551,368426
tangrams/tangram-es,417,27,4.1,2544,13868,51172,201386
dhewm/dhewm3,403,-1,4.7,778,8896,135077,442140
0vercl0k/rp,394,237,4.1,103,1716,24981,149304
vslavik/poedit,375,789,4.5,500,4891,863531,3890397
jupyter-xeus/cpp-terminal,353,152,5.7,29,329,1169,7212
alexbatalov/fallout1-ce,334,294,4.1,285,2488,8321,105664
KhronosGroup/COLLADA2GLTF,332,190,3.6,2754,15104,451,7894
alexbatalov/fallout2-ce,330,319,5.1,340,2796,10872,120205
klaussilveira/qengine,327,488,3.9,917,7504,75142,426378
USBhost/MX_FFmpeg,327,1363,1.6,1315,7146,368156,1916109
gammu/gammu,322,0,6,247,2051,18624,111693
FreeFem/FreeFem-sources,319,-1,4.6,598,3159,42114,278388
Skulltrail192/One-Core-Api-Source,311,189,3.9,287,1986,1054396,6692456
skylicht-lab/skylicht-engine,308,-1,4.6,803,7914,205843,800964
pierreguillot/Camomile,305,968,4,308,4304,4493,15556
mangoszero/server,295,-1,3.4,1007,10319,41361,227353
adaptech-cz/Tesseract4Android,295,893,4,1598,8569,171861,445888
acl-dev/acl,295,674,4.1,526,9790,179535,509364
DynamoRIO/drmemory,294,214,4,920,6036,28685,134537
Stichting-MINIX-Research-Foundation/minix,288,383,2.4,2702,20852,1679506,5601445
freesurfer/freesurfer,286,1038,2.2,2215,10417,245982,1272761
