repo, scan-build-bugs, bai-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
AdamYuan/SparseVoxelOctree,1649,111,338,4.6,250,2672,39350,181362
ApsaraDB/PolarDB-for-PostgreSQL,534,-1,-1,6.1,3208,20098,515378,1230365
DCMTK/dcmtk,524,-1,1,7.6,1802,19679,272627,1020064
BrunoLevy/geogram,438,51,0,5.5,954,6378,162672,413818
0vercl0k/rp,394,0,237,4.6,103,1716,24981,149286
DarkflameUniverse/DarkflameServer,253,0,522,8.1,406,5449,88551,236706
BespokeSynth/BespokeSynth,177,0,881,6.7,205,3151,28659,177977
ARM-software/vulkan_best_practice_for_mobile_developers,141,-1,384,6.5,1087,8569,6555,21927
CloudCompare/CloudCompare,132,813,0,5.9,622,5084,70772,267995
DISTRHO/DPF,115,-1,172,3.4,5,371,21362,102791
DanBloomberg/leptonica,110,1141,-1,6,974,3962,97293,197980
Cisco-Talos/pyrebox,102,1915,112,4.8,412,2423,305189,1660669
DiligentGraphics/DiligentCore,98,-1,1,5.5,1440,10926,59171,254824
DanielSWolf/rhubarb-lip-sync,92,4,128,4.1,305,2450,129430,629649
Blizzard/s2client-api,77,0,0,6.5,410,4759,1956,17002
DeaDBeeF-Player/deadbeef,70,1702,1147,6.1,419,1793,152223,623953
0ad/0ad,69,0,0,5.7,246,1770,389428,1111064
DentonW/DevIL,68,0,308,6.6,268,1566,10392,65470
Aloshi/EmulationStation,67,-1,-1,6.4,52,1253,2352,79054
DefTruth/lite.ai.toolkit,66,-1,80,4.2,21,1148,55222,174021
CESNET/UltraGrid,66,302,0,5.2,205,2025,47896,137322
CoolProp/CoolProp,64,0,102,5.3,144,1517,13629,55351
ComodoSecurity/openedr,60,608,236,5,258,2829,949106,4656663
AMReX-Codes/amrex,60,-1,114,6.5,146,1133,27760,255914
AcademySoftwareFoundation/openexr,50,269,1433,9.1,254,1919,24840,225695
DFHack/dfhack,48,-1,0,6,292,4728,34497,182223
Apress/Ray-Tracing-Gems-II,47,-1,-1,5.2,95,1274,72667,279470
Azure/azure-iot-sdk-c,46,0,619,7.2,1064,3769,31174,215454
David-Haim/concurrencpp,45,0,0,5.7,0,2379,488,16604
