repo, bugs, ossf score, complex functions, total functions
GStreamer/gstreamer,1262,7,13754,71387
xroche/httrack,1252,10,317,1269
systemd/systemd,1159,9.1,5609,16225
mitsuba-renderer/nanogui,1011,7.6,55,1061
baldurk/renderdoc,964,5.6,1180,10006
jpd002/Play-,963,6.8,3922,46576
YannickJadoul/Parselmouth,721,7.6,2196,13653
IntelRealSense/librealsense,715,7,454,5813
JACoders/OpenJK,634,5.6,1618,11779
fluent/fluent-bit,581,5.4,2529,23090
fltk/fltk,561,9.8,275,3014
F-Stack/f-stack,551,10,2787,33539
RfidResearchGroup/proxmark3,503,6.7,1032,8540
google/sandboxed-api,490,6,2522,32549
taosdata/TDengine,480,8.7,1461,9597
bitnine-oss/agensgraph,461,6.4,3194,15814
BrunoLevy/geogram,457,6,1000,6627
isl-org/Open3D,446,4.8,59,744
cnr-isti-vclab/meshlab,439,6,981,8703
OSGeo/gdal,433,6.7,2614,16078
Vita3K/Vita3K,428,6,806,10028
Farama-Foundation/ViZDoom,423,6.4,786,6809
0vercl0k/rp,394,6,103,1716
InsightSoftwareConsortium/ITK,388,8.2,2905,17518
unicode-org/icu,387,6.8,809,7159
OpenDDS/OpenDDS,380,7.3,967,13382
vslavik/poedit,375,7,500,4891
gongminmin/KlayGE,361,10,2121,17116
ZLMediaKit/ZLMediaKit,356,5.6,220,5737
Kitware/VTK,353,9.5,7189,46013
gphoto/libgphoto2,340,6.4,241,1729
klaussilveira/qengine,327,6,917,7504
dfranx/SHADERed,325,6,992,7341
Stichting-MINIX-Research-Foundation/minix,289,10,2702,20852
DynamoRIO/drmemory,287,6,811,5441
SerenityOS/serenity,279,6.7,1397,13329
casadi/casadi,277,7.5,354,3885
google/filament,260,3.7,2338,16792
wheybags/freeablo,259,10,1334,9133
LiangliangNan/Easy3D,259,6.4,550,4088
csound/csound,254,0,511,4210
coronalabs/corona,241,9,762,9009
HarbourMasters/Shipwright,236,5.6,2482,26665
apple/turicreate,234,6.2,1834,22412
borglab/gtsam,228,4.9,394,5667
NREL/EnergyPlus,227,6,1863,11747
libigl/libigl,226,6,487,4548
surge-synthesizer/surge,218,10,480,5210
godotengine/godot,215,6.8,2893,29686
supercollider/supercollider,212,7,256,4599
bluekitchen/btstack,212,9.3,610,13788
hrydgard/ppsspp,211,8,1653,13455
php/php-src,207,7.8,2338,7700
coturn/coturn,202,6.7,195,982
lammps/lammps,200,10,684,3547
adobe-type-tools/afdko,200,6.9,442,3776
Themaister/Granite,196,6.4,1752,15211
Sneeds-Feed-and-Seed/sneedacity,193,5.6,623,4724
beefytech/Beef,191,10,279,1966
